"method","f0","f1","f2","f3","f4","f7"
"Alkalinity_umol/kg",5423,235,0,0,0,0
"CDOM_CTD",2233,0,0,0,0,0
"Chl_a_CTD_Fluor",3054,0,0,0,0,0
"Chl_a_Holm-Hansen_F",399,21618,2,2,0,23
"Chl_a_Holm-Hansen_sF",0,48,0,0,0,0
"Chl_Fluor_Voltage",27583,0,0,0,36,0
"conductivity_CTD",21620,0,0,0,0,0
"HPLC_ACAROT",2175,0,0,0,0,0
"HPLC_ALLOX",2369,0,0,0,0,0
"HPLC_ASTAX",2175,0,0,0,0,0
"HPLC_BCAROT",2175,0,0,0,0,0
"HPLC_BUT19",2369,0,0,0,0,0
"HPLC_BUTLIKE",2175,0,0,0,0,0
"HPLC_CHLA",2379,0,0,0,0,0
"HPLC_CHLB",2369,0,0,0,0,0
"HPLC_CHLC12",2369,0,0,0,0,0
"HPLC_CHLC3",2369,0,0,0,0,0
"HPLC_CHLIDEA",2175,0,0,0,0,0
"HPLC_DIADINOX",2369,0,0,0,0,0
"HPLC_DIATOX",2369,0,0,0,0,0
"HPLC_FUCOX",2369,0,0,0,0,0
"HPLC_HEX19",2369,0,0,0,0,0
"HPLC_HEXLIKE",2175,0,0,0,0,0
"HPLC_HEXLIKE2",2175,0,0,0,0,0
"HPLC_PERID",2369,0,0,0,0,0
"HPLC_PHAEO",2175,0,0,0,0,0
"HPLC_PRASINOX",2175,0,0,0,0,0
"HPLC_PYROPHAE",2175,0,0,0,0,0
"HPLC_VIOLAX",2175,0,0,0,0,0
"HPLC_ZEA",2148,0,0,0,0,0
"NH3_3",20762,0,0,0,0,0
"NH3_Tech_F",2504,548,4,4,0,0
"NH3_Tech_Fsh",3643,0,0,0,0,0
"NO2_Tech_F",399,23826,0,0,0,0
"NO2_Tech_Fsh",2688,1197,0,0,0,0
"NO2_Tech_SF",0,30,0,0,0,0
"NO2NO3_Tech_F",399,23572,243,0,1,125
"NO2NO3_Tech_Fsh",2701,1194,3,0,0,0
"NO2NO3_Tech_SF",0,30,0,0,0,0
"O2_CTD_mLL",2429,25793,0,20,1033,2
"O2_CTD_Molar",806,0,0,0,0,0
"O2_Electrode",1375,1520,0,4,0,0
"O2_Electrode_T",772,0,0,0,0,0
"O2_Winkler",0,295,0,0,0,133
"O2_Winkler_Auto",208,10166,0,28,3,304
"PAR",15141,0,0,0,0,0
"PAR_on_Deck",1203,0,0,0,0,0
"pCO2",2599,0,0,0,2,0
"pH_CTD_cal-total",417,0,0,0,0,0
"pH_CTD_nocal",120,8209,0,6,137,50
"pH_insitu_total_f",2955,0,0,0,0,0
"pH_invitro_temp",3195,0,0,0,0,0
"pH_invitro_total_f",239,0,0,0,0,0
"Phaeo_Holm-Hansen",42,0,0,0,0,0
"Phaeo_Holm-HansenF",21849,0,0,0,0,0
"PO4_Tech_F",399,23364,414,0,10,25
"PO4_Tech_Fsh",2617,1195,2,0,0,0
"PO4_Tech_SF",0,30,0,0,0,0
"POC_CHN_mg/m3",1464,0,0,0,0,0
"POC_CHN_mmole/m3",221,0,0,0,0,0
"PON_CHN",221,0,0,0,0,0
"PON_CHN_mg/m3",1464,0,0,0,0,0
"Pressure",23196,0,0,0,0,0
"Salinity_CTD",407,28967,0,0,1005,405
"Salinity_Sal_PSS",108,7765,0,0,0,515
"Salinity_Sal_PSS_Cal",0,951,2,8,0,0
"SiO4_Tech_F",399,23280,641,0,0,10
"SiO4_Tech_Fsh",2705,1191,6,0,0,0
"SiO4_Tech_SF",0,30,0,0,0,0
"Temp_CTD_1968",407,27146,0,0,0,71
"Temp_CTD_1990",0,3160,0,0,0,0
"TIC",5658,0,0,0,0,0
