"method","f0","f1","f2","f3","f4","f7"
"Alkalinity_umol/kg",5423,235,0,0,0,0
"CDOM_CTD",2233,0,0,0,0,0
"Chl_a_CTD_Fluor",3054,0,0,0,0,0
"Chl_a_Holm-Hansen_F",0,21256,2,2,2,0
"Chl_a_Holm-Hansen_sF",0,48,0,0,0,0
"Chl_Fluor_Voltage",27583,0,0,0,36,0
"conductivity_CTD",21620,0,0,0,0,0
"HPLC_ACAROT",2175,0,0,0,0,0
"HPLC_ALLOX",2369,0,0,0,0,0
"HPLC_ASTAX",2175,0,0,0,0,0
"HPLC_BCAROT",2175,0,0,0,0,0
"HPLC_BUT19",2369,0,0,0,0,0
"HPLC_BUTLIKE",2175,0,0,0,0,0
"HPLC_CHLA",2379,0,0,0,0,0
"HPLC_CHLB",2369,0,0,0,0,0
"HPLC_CHLC12",2369,0,0,0,0,0
"HPLC_CHLC3",2369,0,0,0,0,0
"HPLC_CHLIDEA",2175,0,0,0,0,0
"HPLC_DIADINOX",2369,0,0,0,0,0
"HPLC_DIATOX",2369,0,0,0,0,0
"HPLC_FUCOX",2369,0,0,0,0,0
"HPLC_HEX19",2369,0,0,0,0,0
"HPLC_HEXLIKE",2175,0,0,0,0,0
"HPLC_HEXLIKE2",2175,0,0,0,0,0
"HPLC_PERID",2369,0,0,0,0,0
"HPLC_PHAEO",2175,0,0,0,0,0
"HPLC_PRASINOX",2175,0,0,0,0,0
"HPLC_PYROPHAE",2175,0,0,0,0,0
"HPLC_VIOLAX",2175,0,0,0,0,0
"HPLC_ZEA",2148,0,0,0,0,0
"NH3_3",20762,0,0,0,0,0
"NH3_Tech_F",2504,548,4,4,0,0
"NH3_Tech_Fsh",3643,0,0,0,0,0
"NO2_Tech_F",0,23227,0,0,0,0
"NO2_Tech_Fsh",2688,1197,0,0,0,0
"NO2_Tech_SF",0,30,0,0,0,0
"NO2NO3_Tech_F",0,23048,247,39,12,0
"NO2NO3_Tech_Fsh",2701,1194,3,0,0,0
"NO2NO3_Tech_SF",0,30,0,0,0,0
"O2_CTD_mLL",2022,26200,0,22,1033,0
"O2_CTD_Molar",806,0,0,0,0,0
"O2_Electrode",0,0,0,0,2901,0
"O2_Electrode_T",772,0,0,0,0,0
"O2_Winkler",0,428,0,0,0,0
"O2_Winkler_Auto",0,10436,0,38,3,2
"PAR",15141,0,0,0,0,0
"PAR_on_Deck",1203,0,0,0,0,0
"pCO2",2599,0,0,0,2,0
"pH_CTD_cal-total",417,0,0,0,0,0
"pH_CTD_nocal",0,8329,0,56,137,0
"pH_insitu_total_f",2955,0,0,0,0,0
"pH_invitro_temp",3195,0,0,0,0,0
"pH_invitro_total_f",239,0,0,0,0,0
"Phaeo_Holm-Hansen",42,0,0,0,0,0
"Phaeo_Holm-HansenF",21849,0,0,0,0,0
"PO4_Tech_F",0,22784,424,0,10,0
"PO4_Tech_Fsh",2617,1195,2,0,0,0
"PO4_Tech_SF",0,30,0,0,0,0
"POC_CHN_mg/m3",1464,0,0,0,0,0
"POC_CHN_mmole/m3",221,0,0,0,0,0
"PON_CHN",221,0,0,0,0,0
"PON_CHN_mg/m3",1464,0,0,0,0,0
"Pressure",23196,0,0,0,0,0
"Salinity_CTD",0,28661,0,32,1010,0
"Salinity_Sal_PSS",0,8103,0,64,6,0
"Salinity_Sal_PSS_Cal",0,951,2,8,0,0
"SiO4_Tech_F",0,22640,681,2,9,0
"SiO4_Tech_Fsh",2705,1191,6,0,0,0
"SiO4_Tech_SF",0,30,0,0,0,0
"Temp_CTD_1968",0,26538,0,4,2,0
"Temp_CTD_1990",0,3160,0,0,0,0
"TIC",5658,0,0,0,0,0
