BCD_FIELDS,localisation,IML_CODE,IML_unit,tag,qc
DIS_SAMPLE_KEY_VALUE,CTD,Fichier,(nom),metadata,
EVENT_COLLECTOR_STN_NAME,CTD,Station,(nom/no),metadata,
DIS_HEADER_SLAT,CTD,Latitude,(degres),metadata,
DIS_HEADER_SLON,CTD,Longitude,(degres),metadata,
DIS_DETAIL_COLLECTOR_SAMP_ID,CTD,Echantillon,(no_unique),metadata,
DIS_HEADER_START_DEPTH,CTD,zbouteille,(dbar),metadata,
DIS_HEADER_SDATE,CTD,Date,(jj-mmm-yyyy),metadata,
DIS_HEADER_STIME,CTD,Heure,(GMT),metadata,
,CTD,CNTR,(scan),metadata,
,CTD,nCNTR,(nombre_scan),metadata,
Pressure,CTD,PRES,(dbar),data,qc
conductivity_CTD,CTD,,,data,
Salinity_CTD,CTD,PSAL,(psu),data,qc
Temp_CTD_1968,CTD,TEMP_XX,(celsius),data,qc
Temp_CTD_1990,CTD,TE90,(celsius),data,qc
Chl_Fluor_Voltage,CTD,,,data,
O2_CTD_mLL,CTD,DOXY,(ml/l),data,qc
pH_CTD_nocal,CTD,PHPH,((none)),data,qc
Chl_a_Holm-Hansen_F,labo,CHL_01,(mg/m**3),data,qc
Phaeo_Holm-HansenF,labo,PHA_01,(mg/m**3),data,
SiO4_Tech_F,labo,Si_01,(mmol/m**3),data,qc
PO4_Tech_F,labo,PO4_01,(mmol/m**3),data,qc
NO2NO3_Tech_F,labo,NOx_01,(mmol/m**3),data,qc
Salinity_Sal_PSS,labo,PSAL_BS,(PSU),data,qc
CO2,labo,,,data,
NO2_Tech_F,labo,NO2_01,(mmol/m**3),data,qc
NH3_Tech_F,labo,NH4_01,(mmol/m**3),data,
O2_Winkler_Auto,labo,OXY_02,(ml/l),data,qc
O2_Winkler,labo,OXY_01,(ml/l),data,qc
O2_Electrode_mll,labo,OXY_03,(ml/l),data,qc
PON_CHN_mg/m3,labo,PON_02,(mg/m**3),data,
POC_CHN_mg/m3,labo,POC_02,(mg/m**3),data,
HPLC,,,,data,
,,,,,
O2_Winkler_Molar,labo,OXYM_01,(mmol/m**3),data,qc
,,,,,
O2_CTD_Molar,CTD,OXY_XX,(mmol/m**3),data,qc
SiO4_Alp_SF,labo,Si_01,(mmol/m**3),data,qc
,,,,,
NO3_Alp_SF,labo,NO3_01,(mmol/m**3),data,qc
NO2_Alp_SF,labo,NO2_01,(mmol/m**3),data,qc
PO4_Alp_SF,labo,PO4_01,(mmol/m**3),data,qc
NO2NO3_Alp_SF,labo,NOx_01,(mmol/m**3),data,qc
SiO4_Tech_SF,labo,Si_01,(mmol/m**3),data,qc
NO2_Tech_SF,labo,NO2_01,(mmol/m**3),data,qc
NO2NO3_Tech_SF,labo,NOx_01,(mmol/m**3),data,qc
PO4_Tech_SF,labo,PO4_01,(mmol/m**3),data,qc
Salinity,labo,SSAL_XX,((none)),data,qc
Temp_Unknown,terrain,TEMP_XX,(celsius),data,qc
SiO4_0,labo,Si_01,(mmol/m**3),data,qc
Salinity_Sal_g/kg,,,,,
NO2_0,labo,NO2_01,(mmol/m**3),data,qc
PO4_0,labo,PO4_01,(mmol/m**3),data,qc
NO2NO3_0,labo,NOx_01,(mmol/m**3),data,qc
,,,,,
NO2_Tech_Fsh,labo,NO2_01,(mmol/m**3),data,qc
NO2NO3_Tech_Fsh,labo,NOx_01,(mmol/m**3),data,qc
PO4_Tech_Fsh,labo,PO4_01,(mmol/m**3),data,qc
SiO4_Tech_Fsh,labo,Si_01,(mmol/m**3),data,qc
NO3_Tech_F,labo,NO3_01,(mmol/m**3),data,qc
PO4_Tech_2,labo,PO4_01,(mmol/m**3),data,qc
NO2NO3_S&P1968,labo,NOx_01,(mmol/m**3),data,qc
SiO4_1,labo,Si_01,(mmol/m**3),data,qc
SiO4_Tech2_F,labo,Si_01,(mmol/m**3),data,qc
PO4_Tech2_F,labo,PO4_01,(mmol/m**3),data,qc
,,,,,
,,,,,
Chl_a_Holm-Hansen_sF,labo,CHL_01,(mg/m**3),data,qc
Chl_a_Welschmeyer_sF,labo,CHL_03,(mg/m**3),data,qc
Chl_a_CTD_Fluor,CTD,FLOR,(mg/m**3),data,qc
Chl_a,labo,CHL_XX,(mg/m**3),data,qc
Chl_a_Welsch_fresh,labo,CHL_04,(mg/m**3),data,qc
