BCS,BC,TYPE,diff_comp
DIS_SAMPLE_KEY_VALUE,,char,
MISSION_DESCRIPTOR,DESCRIPTOR,char,
EVENT_COLLECTOR_EVENT_ID,COLLECTOR_EVENT_ID,num,
EVENT_COLLECTOR_STN_NAME,COLLECTOR_STATION_NAME,char,
MISSION_NAME,NAME,char,
MISSION_LEADER,LEADER,char,
MISSION_SDATE,MISSION_START,date,
MISSION_EDATE,MISSION_END,date,
MISSION_INSTITUTE,INSTITUTE,char,
MISSION_PLATFORM,PLATFORM,char,
MISSION_PROTOCOL,PROTOCOL,char,
MISSION_GEOGRAPHIC_REGION,GEOGRAPHIC_REGION,char,
MISSION_COLLECTOR_COMMENT1,MISSION_COLLECTOR_COMM,char,
MISSION_COLLECTOR_COMMENT2,MISSION_MORE_COMMENT,char,
MISSION_DATA_MANAGER_COMMENT,MISSION_DATA_MANAGER_COMM,char,
EVENT_SDATE,EVENT_START,date,
EVENT_EDATE,EVENT_END,date,
EVENT_STIME,EVENT_START_TIME,time,
EVENT_ETIME,EVENT_END_TIME,time,
EVENT_MIN_LAT,EVENT_MIN_LAT,num,1
EVENT_MAX_LAT,EVENT_MAX_LAT,num,1
EVENT_MIN_LON,EVENT_MIN_LON,num,1
EVENT_MAX_LON,EVENT_MAX_LON,num,1
EVENT_UTC_OFFSET,UTC_OFFSET,char,
EVENT_COLLECTOR_COMMENT1,EVENT_COLLECTOR_COMM,char,
EVENT_COLLECTOR_COMMENT2,EVENT_MORE_COMMENT,char,
EVENT_DATA_MANAGER_COMMENT,EVENT_DATA_MANAGER_COMM,char,
DIS_HEADR_GEAR_SEQ,GEAR_SEQ,num,
DIS_HEADR_SDATE,HEADER_START,date,
DIS_HEADR_EDATE,HEADER_END,date,
DIS_HEADR_STIME,HEADER_START_TIME,time,
DIS_HEADR_ETIME,HEADER_END_TIME,time,
DIS_HEADR_TIME_QC_CODE,TIME_QC_CODE,num,
DIS_HEADR_SLAT,HEADER_START_LAT,num,1
DIS_HEADR_ELAT,HEADER_END_LAT,num,1
DIS_HEADR_SLON,HEADER_START_LON,num,1
DIS_HEADR_ELON,HEADER_END_LON,num,1
DIS_HEADR_POSITION_QC_CODE,POSITION_QC_CODE,num,
DIS_HEADR_START_DEPTH,HEADER_START_DEPTH,num,1
DIS_HEADR_END_DEPTH,HEADER_END_DEPTH,num,1
DIS_HEADR_SOUNDING,SOUNDING,num,1
DIS_HEADR_COLLECTOR_DEPLMT_ID,,char,
DIS_HEADR_COLLECTOR_SAMPLE_ID,COLLECTOR_SAMPLE_ID,char,
DIS_HEADR_COLLECTOR,COLLECTOR,char,
DIS_HEADR_COLLECTOR_COMMENT1,HEADER_COLLECTOR_COMM,char,
DIS_HEADR_DATA_MANAGER_COMMENT,HEADER_DATAMANAGER_COMM,char,
DIS_HEADR_RESPONSIBLE_GROUP,,char,
DIS_HEADR_SHARED_DATA,SHARED_DATA,char,
CREATED_BY,,char,
CREATED_DATE,,date,
DATA_CENTER_CODE,,num,
PROCESS_FLAG,,char,
BATCH_SEQ,,num,
