BCD_FIELDS,localisation,IML_CODE,IML_unit,tag,qc
DIS_SAMPLE_KEY_VALUE,CTD,Fichier,(nom),metadata,
EVENT_COLLECTOR_STN_NAME,CTD,Station,(nom/no),metadata,
DIS_HEADER_SLAT,CTD,Latitude,(degres),metadata,
DIS_HEADER_SLON,CTD,Longitude,(degres),metadata,
DIS_DETAIL_COLLECTOR_SAMP_ID,CTD,Echantillon,(no_unique),metadata,
,CTD,zbouteille,(dbar),metadata,
DIS_HEADER_SDATE,CTD,Date,(jj-mmm-yyyy),metadata,
DIS_HEADER_STIME,CTD,Heure,(GMT),metadata,
,CTD,CNTR,(scan),metadata,
,CTD,nCNTR,(nombre_scan),metadata,
Pressure,CTD,PRES,(dbar),data,qc
conductivity_CTD,CTD,,,data,
Salinity_CTD,CTD,PSAL,(psu),data,qc
Temp_CTD_1968,CTD,TE90,(celsius),data,qc
Chl_Fluor_Voltage,CTD,,,data,
O2_CTD_mLL,CTD,DOXY,(ml/l),data,qc
pH_CTD_nocal,CTD,PHPH,((none)),data,qc
Chl_a_Holm-Hansen_F,labo,CHL_01,(mg/m**3),data,qc
Phaeo_Holm-HansenF,labo,PHA_01,(mg/m**3),data,
SiO4_Tech_F,labo,Si_01,(mmol/m**3),data,qc
PO4_Tech_F,labo,PO4_01,(mmol/m**3),data,qc
NO2NO3_Tech_F,labo,NOx_01,(mmol/m**3),data,qc
Salinity_Sal_PSS,labo,PSAL_BS,(PSU),data,qc
CO2,labo,,,data,
NO2_Tech_F,labo,NO2_01,(mmol/m**3),data,qc
NH3_Tech_F,labo,NH4_01,(mmol/m**3),data,
O2_Winkler_Auto,labo,OXY_01,(ml/l),data,qc
O2_Electrode_mll,labo,OXY_03,(ml/l),data,qc
PON_CHN_mg/m3,labo,PON_02,(mg/m**3),data,
POC_CHN_mg/m3,labo,POC_02,(mg/m**3),data,
HPLC,,,,data,
