CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;OXY_XX;TEMP_RT;SSAL_BS;pH_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(ml/l);(celsius);(g/kg);((none))
16003_006;HL_01;44.39991;-63.44997;431001;81.82;10-apr-16;02:49:00;81.821;31.8763;2.8023;6.9631;7.997;6.9631;2.8023;31.8763;7.997
16003_006;HL_01;44.39974;-63.44982;431002;61.69;10-apr-16;02:51:00;61.698;31.6461;2.3612;7.3296;8.018;7.3296;2.3612;31.6461;8.018
16003_006;HL_01;44.39968;-63.44982;431003;60.89;10-apr-16;02:51:00;60.897;31.638;2.3473;7.3259;8.017;7.3259;2.3473;31.638;8.017
16003_006;HL_01;44.39966;-63.44986;431004;61.16;10-apr-16;02:52:00;61.168;31.633;2.338;7.3291;8.018;7.3291;2.338;31.633;8.018
16003_006;HL_01;44.39968;-63.45004;431005;50.24;10-apr-16;02:54:00;50.245;31.26;1.8496;7.8539;8.059;7.8539;1.8496;31.26;8.059
16003_006;HL_01;44.39972;-63.45006;431006;40.87;10-apr-16;02:55:00;40.872;31.1614;1.9384;8.1148;8.102;8.1148;1.9384;31.1614;8.102
16003_006;HL_01;44.39972;-63.4501;431007;40.4;10-apr-16;02:56:00;40.4;31.1605;1.9341;8.1525;8.102;8.1525;1.9341;31.1605;8.102
16003_006;HL_01;44.3997;-63.45014;431008;40.43;10-apr-16;02:57:00;40.433;31.1599;1.9324;8.1402;8.102;8.1402;1.9324;31.1599;8.102
16003_006;HL_01;44.39968;-63.45016;431009;40.59;10-apr-16;02:57:00;40.594;31.1595;1.9362;8.1428;8.102;8.1428;1.9362;31.1595;8.102
16003_006;HL_01;44.39995;-63.4505;431010;29.05;10-apr-16;03:00:00;29.052;31.163;2.1125;8.1683;8.111;8.1683;2.1125;31.163;8.111
16003_006;HL_01;44.40008;-63.45056;431011;19.93;10-apr-16;03:01:00;19.933;31.1439;2.2168;8.2602;8.125;8.2602;2.2168;31.1439;8.125
16003_006;HL_01;44.40012;-63.45054;431012;20.17;10-apr-16;03:02:00;20.175;31.1406;2.2164;8.2512;8.125;8.2512;2.2164;31.1406;8.125
16003_006;HL_01;44.40024;-63.45068;431013;9.8;10-apr-16;03:03:00;9.801;31.1295;2.1604;8.313;8.125;8.313;2.1604;31.1295;8.125
16003_006;HL_01;44.4003;-63.45108;431014;1.56;10-apr-16;03:05:00;1.561;31.1268;2.1372;8.2982;8.125;8.2982;2.1372;31.1268;8.125
16003_006;HL_01;44.4003;-63.4512;431015;1.91;10-apr-16;03:05:00;1.912;31.1268;2.1388;8.3012;8.125;8.3012;2.1388;31.1268;8.125
16003_006;HL_01;44.4003;-63.45128;431016;1.35;10-apr-16;03:06:00;1.354;31.1274;2.1428;8.2982;8.125;8.2982;2.1428;31.1274;8.125
16003_006;HL_01;44.40029;-63.4513;431017;2.08;10-apr-16;03:06:00;2.084;31.1288;2.1533;8.2908;8.125;8.2908;2.1533;31.1288;8.125
16003_010;HL_02;44.26486;-63.31688;431018;147.56;10-apr-16;05:47:00;147.565;34.5935;9.7236;3.5943;7.99;3.5943;9.7236;34.5935;7.99
16003_010;HL_02;44.26484;-63.31621;431019;101.35;10-apr-16;05:50:00;101.358;32.5476;3.8996;5.9773;7.975;5.9773;3.8996;32.5476;7.975
16003_010;HL_02;44.26504;-63.31618;431020;80.18;10-apr-16;05:52:00;80.188;32.1482;2.9952;6.6421;7.999;6.6421;2.9952;32.1482;7.999
16003_010;HL_02;44.26512;-63.31626;431021;80.38;10-apr-16;05:52:00;80.384;32.1548;3.008;6.6314;7.996;6.6314;3.008;32.1548;7.996
16003_010;HL_02;44.26518;-63.31632;431022;79.93;10-apr-16;05:53:00;79.93;32.1531;3.0108;6.6248;7.996;6.6248;3.0108;32.1531;7.996
16003_010;HL_02;44.26483;-63.31616;431023;60.35;10-apr-16;05:54:00;60.351;31.7872;2.7408;7.357;8.069;7.357;2.7408;31.7872;8.069
16003_010;HL_02;44.26434;-63.31596;431024;52.33;10-apr-16;05:56:00;52.338;31.1456;1.3983;8.1285;8.112;8.1285;1.3983;31.1456;8.112
16003_010;HL_02;44.26414;-63.31577;431025;39.18;10-apr-16;05:57:00;39.182;31.0494;1.2558;8.2333;8.117;8.2333;1.2558;31.0494;8.117
16003_010;HL_02;44.26418;-63.31576;431026;40.9;10-apr-16;05:58:00;40.902;31.0588;1.2551;8.2438;8.114;8.2438;1.2551;31.0588;8.114
16003_010;HL_02;44.26424;-63.31576;431027;39.73;10-apr-16;05:58:00;39.73;31.0584;1.2588;8.2454;8.114;8.2454;1.2588;31.0584;8.114
16003_010;HL_02;44.26436;-63.31548;431028;30.63;10-apr-16;05:59:00;30.638;31.0347;1.2394;8.2732;8.114;8.2732;1.2394;31.0347;8.114
16003_010;HL_02;44.26404;-63.31488;431029;20.5;10-apr-16;06:01:00;20.506;30.9781;1.4133;8.3076;8.118;8.3076;1.4133;30.9781;8.118
16003_010;HL_02;44.26398;-63.3147;431030;20.69;10-apr-16;06:02:00;20.692;30.9981;1.3686;8.3076;8.118;8.3076;1.3686;30.9981;8.118
