CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(PSU);(ml/l)
NED2003003_0;MFD_SETNO0;44.269333;63.312;258853;152;04-mar-03;13:31:19;32.687;3.2;5.6034;0.0467716363636364;32.695;6.29
NED2003003_0;MFD_SETNO0;44.269333;63.312;258854;100;04-mar-03;13:31:19;31.916;0.384;8.3591;0.362220826446281;NaN;NaN
NED2003003_0;MFD_SETNO0;44.269333;63.312;258855;75;04-mar-03;13:31:19;17.624;-1.135;13.3323;0.330404132231405;NaN;NaN
NED2003003_1;MFD_SETNO0;44.269333;63.312;-999999;1;04-mar-03;13:31:19;3.0296;4.2667;4.9659;NaN;4.4341;7.4225
NED2003003_1;MFD_SETNO1;44.534333;61.744167;258857;5;04-mar-03;21:33:45;31.892;19.313;32.097;NaN;31.802;34.82
NED2003003_1;MFD_SETNO1;44.534333;61.744167;258858;25;04-mar-03;21:33:45;-0.941;9.652;-1.622;NaN;0.749;-1.286
NED2003003_1;MFD_SETNO1;44.534333;61.744167;258859;50;04-mar-03;21:33:45;31.855;-0.708;4.8862;0.616754380165289;NaN;8.568
NED2003003_10;MFD_SETNO10;44.907167;60.1575;258895;130;08-mar-03;19:29:17;31.856;-0.676;4.9721;0.663255702479339;NaN;NaN
NED2003003_10;MFD_SETNO10;44.907167;60.1575;258896;50;08-mar-03;19:29:17;32.074;-0.037;4.96;0.674269173553719;31.883;NaN
NED2003003_10;MFD_SETNO10;44.907167;60.1575;258897;25;08-mar-03;19:29:17;32.611;1.565;4.6987;0.0744094214876033;32.604;7.0775
NED2003003_10;MFD_SETNO10;44.907167;60.1575;258898;5;08-mar-03;19:29:17;31.77;-1.003;5.1601;0.573924214876033;NaN;NaN
