CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;Si_01;PO4_01;NOx_01;PSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU)
NED2005027_1;MFD_SETNO1;44.32031;63.292183;273812;122;27-jun-05;23:58:08;32.676;3.746;5.7895;6.8065;0.875;7.188;32.826
NED2005027_10;MFD_SETNO10;44.080747;61.11214;273821;57;29-jun-05;01:28:11;32.414;4.864;6.2682;4.555;0.7405;2.1435;32.629
NED2005027_13;MFD_SETNO13;43.7415;60.651833;273824;60;29-jun-05;09:14:59;33.065;5.896;5.9813;4.979;0.713;4.2995;33.253
NED2005027_14;MFD_SETNO14;43.543147;60.711673;273825;63;29-jun-05;10:46:08;32.686;5.44;6.2389;3.4095;0.6655;2.061;32.824
NED2005027_15;MFD_SETNO15;43.582;60.959833;273826;63;29-jun-05;12:46:19;32.762;6.246;6.2811;2.5035;0.515;0.675;33.003
NED2005027_19;MFD_SETNO19;43.439667;61.664833;273830;70;29-jun-05;22:18:40;33.046;5.71;6.2287;4.902;0.6515;3.6695;33.253
NED2005027_20;MFD_SETNO20;43.685333;61.981402;273831;94;30-jun-05;01:19:37;33.581;6.27;5.393;9.0185;0.917;9.8635;33.803
NED2005027_21;MFD_SETNO21;43.6205;61.999833;273832;94;30-jun-05;03:12:20;33.511;6.25;5.4565;9.722;0.915;9.65;33.713
NED2005027_22;MFD_SETNO22;43.42254;62.147753;273833;102;30-jun-05;04:56:02;33.946;7.372;5.2479;8.1745;0.849;9.724;34.17
NED2005027_23;MFD_SETNO23;43.291373;62.08646;273834;91;30-jun-05;07:22:18;33.814;7.267;5.4853;7.3455;0.8115;8.8745;34.014
NED2005027_24;MFD_SETNO24;43.289743;62.257418;273835;88;30-jun-05;09:11:23;33.657;6.474;5.3153;7.9515;0.848;8.8925;33.701
NED2005027_25;MFD_SETNO25;43.209597;62.3832;273836;91;30-jun-05;10:48:34;33.658;6.463;5.4359;8.7255;0.9155;10.4385;33.901
NED2005027_26;MFD_SETNO26;43.278333;62.619;273837;89;30-jun-05;12:39:03;33.471;6.407;5.4344;6.5725;0.9215;9.7895;33.682
NED2005027_27;MFD_SETNO27;43.253833;62.824167;273838;100;30-jun-05;14:17:29;33.946;7.313;5.0782;8.288;0.9825;12.2305;34.137
NED2005027_28;MFD_SETNO28;42.928545;62.883973;273839;122;30-jun-05;16:53:37;34.379;8.473;4.7669;9.4005;1.018;13.8305;34.587
NED2005027_29;MFD_SETNO29;43.379917;62.94383;273840;100;30-jun-05;20:03:06;34.147;8.115;4.7691;9.482;1.0325;13.7;34.347
NED2005027_3;MFD_SETNO3;44.370667;61.393333;273814;198;28-jun-05;09:42:17;34.006;7.434;3.6857;14.5275;1.224;14.5595;34.203
NED2005027_30;MFD_SETNO30;43.499885;62.636338;273841;97;01-jul-05;00:53:53;33.611;6.612;5.1869;7.537;0.952;10.93;33.816
NED2005027_31;MFD_SETNO31;43.834458;62.53057;0;5;01-jul-05;03:35:30;6.4016;6.6992;6.3158;6.9083;6.2806;NaN;6.412
NED2005027_31;MFD_SETNO31;43.834458;62.53057;273842;157;01-jul-05;03:35:30;6.4858;6.2583;6.9173;6.6705;6.4081;6.816;6.3991
NED2005027_4;MFD_SETNO4;44.462952;60.900708;273815;80;28-jun-05;13:09:10;6.7286;7.079;6.8919;6.9868;6.5375;6.9321;7.0442
NED2005027_8;MFD_SETNO8;44.160167;60.687167;273819;47;28-jun-05;21:41:26;6.8346;7.0479;6.5527;6.4902;6.8373;7.1202;6.5416
NED2005027_9;MFD_SETNO9;44.16;60.789667;273820;21;28-jun-05;23:15:30;6.4605;7.0159;7.3155;6.8841;6.9032;6.6675;6.7041
