CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295853;186;20-jul-06;21:20:48;34.508;9.0087;2.76565;0.0179877419354839;13.801;1.199;14.7375;34.521;3.669
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295854;100;20-jul-06;21:20:48;33.27;5.8702;3.93108;0.0205574193548387;8.5685;0.95;9.5765;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295855;75;20-jul-06;21:20:48;32.6942;3.8759;4.2108;0.0449693548387097;10.0995;1.065;10.066;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295856;50;20-jul-06;21:20:48;32.3965;3.9474;4.7645;0.403862516129032;4.843;0.827;5.8275;32.474;6.167
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295857;41;20-jul-06;21:20:48;32.2195;3.4933;4.88062;NaN;NaN;NaN;NaN;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295858;30;20-jul-06;21:20:48;31.9036;3.5551;5.30486;1.21012025806452;2.298;0.554;1.409;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295859;20;20-jul-06;21:20:48;31.7771;5.6684;5.59239;0.460974387096774;1;0.3605;5e-04;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295860;10;20-jul-06;21:20:48;31.4646;10.0962;5.24876;0.224368064516129;0.6505;0.2435;0.007;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295861;5;20-jul-06;21:20:48;31.0747;18.3794;4.22328;0.187653290322581;0.6875;0.2345;0.022;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295862;2;20-jul-06;21:20:48;31.075;18.2468;4.23417;0.199891548387097;0.792;0.2805;0.1515;31.127;5.7345
