CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336771;157;23-feb-10;17:52:02;33.3584;5.8904;4.83606;0.0139006398496241;13.155;1.1605;11.651;33.353084564209;0.142;4.7185
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336772;100;23-feb-10;17:52:02;32.3696;3.2839;6.04196;0.058382687368421;8.5215;0.9615;7.113;NaN;0.1155;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336773;75;23-feb-10;17:52:02;31.7463;2.0209;7.04232;0.0774285716165413;6.739;0.8475;5.3665;NaN;0.119;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336774;51;23-feb-10;17:52:02;31.113;0.5258;7.70917;0.477138989830827;6.5715;0.715;4.3265;NaN;0.1705;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336775;39;23-feb-10;17:52:02;30.9996;0.2699;7.80231;0.20217753806391;6.8595;0.7615;4.561;31.0043258666992;0.173;7.448
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336776;28;23-feb-10;17:52:02;30.8857;-0.0726;7.90342;0.258787248721805;7.315;0.8225;4.84;NaN;0.198;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336777;20;23-feb-10;17:52:02;30.8589;0.0713;7.90303;0.598445512669173;7.416;0.783;4.4745;NaN;0.1965;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336778;10;23-feb-10;17:52:02;30.8565;0.0843;NaN;0.574184208101504;7.724;0.8225;4.6795;NaN;0.2055;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336779;6;23-feb-10;17:52:02;30.8562;0.0909;7.87919;0.574184208101504;7.196;0.76;4.302;NaN;0.2005;NaN
NED2010001_0;MFD_SETNO0;44.2643;-63.3193;336780;3;23-feb-10;17:52:02;30.8562;0.091;7.87066;0.566097106578947;7.739;0.821;4.7325;30.8513698577881;0.205;8.049
NED2010001_1;MFD_SETNO1;42.2568;-66.0787;336781;257;27-feb-10;02:08:42;35.0503;8.801;4.08305;0;11.6525;1.1555;19.0335;35.0403633117676;0.1305;4.175
