CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353099;154;05-jul-11;21:35:01;34.1359;7.9396;9.38537;9.38537;7.9396;34.1359
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353100;99;05-jul-11;21:35:01;32.6885;3.401;12.46667;12.46667;3.401;32.6885
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353101;74;05-jul-11;21:35:01;32.4046;2.6254;12.02557;12.02557;2.6254;32.4046
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353102;49;05-jul-11;21:35:01;31.9761;2.9859;11.69728;11.69728;2.9859;31.9761
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353103;40;05-jul-11;21:35:01;31.7362;3.346;11.97972;11.97972;3.346;31.7362
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353104;31;05-jul-11;21:35:01;31.4797;3.9071;12.24685;12.24685;3.9071;31.4797
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353105;20;05-jul-11;21:35:01;31.4037;6.2732;11.77265;11.77265;6.2732;31.4037
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353106;10;05-jul-11;21:35:01;30.8772;13.7512;11.01742;11.01742;13.7512;30.8772
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353107;5;05-jul-11;21:35:01;30.8636;14.0436;11.69837;11.69837;14.0436;30.8636
NED2011025_1;MFD_SETNO1;44.266;-63.3187;353108;3;05-jul-11;21:35:01;30.8634;14.041;11.73061;11.73061;14.041;30.8634
NED2011025_10;MFD_SETNO10;42.9787;-64.1765;353133;94;07-jul-11;01:44:16;32.9832;5.1175;7.98156;7.98156;5.1175;32.9832
NED2011025_10;MFD_SETNO10;42.9787;-64.1765;353134;50;07-jul-11;01:44:16;32.079;4.1889;9.16532;9.16532;4.1889;32.079
NED2011025_10;MFD_SETNO10;42.9787;-64.1765;353135;25;07-jul-11;01:44:16;31.263;10.118;9.8552;9.8552;10.118;31.263
NED2011025_10;MFD_SETNO10;42.9787;-64.1765;353136;5;07-jul-11;01:44:16;31.0214;14.491;8.40824;8.40824;14.491;31.0214
NED2011025_100;MFD_SETNO100;41.982;-65.8775;353464;171;16-jul-11;06:42:02;34.7276;8.0263;4.38342;4.38342;8.0263;34.7276
NED2011025_100;MFD_SETNO100;41.982;-65.8775;353465;49;16-jul-11;06:42:02;32.4931;6.4153;5.80258;5.80258;6.4153;32.4931
NED2011025_100;MFD_SETNO100;41.982;-65.8775;353466;25;16-jul-11;06:42:02;32.1397;9.151;5.77079;5.77079;9.151;32.1397
NED2011025_100;MFD_SETNO100;41.982;-65.8775;353467;5;16-jul-11;06:42:02;31.8445;12.7589;5.71142;5.71142;12.7589;31.8445
NED2011025_101;MFD_SETNO101;42.207;-65.8212;353468;238;16-jul-11;09:34:01;35.0148;6.7773;4.43474;4.43474;6.7773;35.0148
NED2011025_101;MFD_SETNO101;42.207;-65.8212;353469;50;16-jul-11;09:34:01;32.6154;10.0522;5.90582;5.90582;10.0522;32.6154
NED2011025_101;MFD_SETNO101;42.207;-65.8212;353470;24;16-jul-11;09:34:01;31.7219;12.7872;5.53486;5.53486;12.7872;31.7219
NED2011025_101;MFD_SETNO101;42.207;-65.8212;353471;6;16-jul-11;09:34:01;31.8206;14.2938;5.54681;5.54681;14.2938;31.8206
NED2011025_102;MFD_SETNO102;42.1613;-65.4548;353472;144;16-jul-11;13:05:40;35.056;10.0431;4.1027;4.1027;10.0431;35.056
NED2011025_102;MFD_SETNO102;42.1613;-65.4548;353473;50;16-jul-11;13:05:40;34.1306;11.8818;5.6436;5.6436;11.8818;34.1306
NED2011025_102;MFD_SETNO102;42.1613;-65.4548;353474;26;16-jul-11;13:05:40;31.8678;4.8462;6.28826;6.28826;4.8462;31.8678
NED2011025_102;MFD_SETNO102;42.1613;-65.4548;353475;6;16-jul-11;13:05:40;31.3714;13.9313;5.51271;5.51271;13.9313;31.3714
NED2011025_103;MFD_SETNO103;42.2245;-65.295;353476;376;16-jul-11;16:26:44;35.0804;7.4993;3.71027;3.71027;7.4993;35.0804
NED2011025_103;MFD_SETNO103;42.2245;-65.295;353477;50;16-jul-11;16:26:44;31.983;4.0637;6.17831;6.17831;4.0637;31.983
