CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(ml/l)
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383784;177;27-jun-13;20:08:28;34.63;9.6631;2.91208;0.011099987394958;16.165;1.272;15.775;34.6334495544434;0.105;NaN;3.826
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383785;102;27-jun-13;20:08:28;33.277;5.9552;5.02881;0.0702999201680672;5.665;0.777;8.26;NaN;0.125;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383786;75;27-jun-13;20:08:28;32.5143;3.3752;5.49781;0.0425499516806723;5.395;0.85;8.795;NaN;0.245;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383787;51;27-jun-13;20:08:28;32.1545;2.8415;6.03887;0.399036403361345;3.55;0.7665;4.815;NaN;0.19;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383788;40;27-jun-13;20:08:28;32.0222;3.2156;6.28683;0.548675054621849;1.025;0.465;1.02;31.9782867431641;0.08;NaN;7.0655
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383789;30;27-jun-13;20:08:28;31.8228;3.5936;6.68499;1.25342073529412;0.615;0.38;0.18;NaN;0.055;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383790;20;27-jun-13;20:08:28;31.6375;7.9347;6.33372;0.680428399159664;1.09;0.2645;0.41;NaN;0.285;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383791;6;27-jun-13;20:08:28;31.1266;13.6718;5.2865;0.360241197478992;0.755;0.2485;0;NaN;0.305;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383792;5;27-jun-13;20:08:28;31.1268;13.7176;5.28897;0.332530336134454;0.825;0.2355;0;NaN;0.045;NaN;NaN
NED2013022_1;MFD_SETNO1;44.2727;-63.3227;383793;2;27-jun-13;20:08:28;31.1172;14.065;5.24538;0.354699025210084;0.525;0.2405;0;31.1440944671631;0.055;NaN;6.042
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384142;107;15-jul-13;09:43:02;34.4874;9.193;3.81082;0.0240499726890756;8.945;0.909;13.375;34.4889373779297;0.095;4.559;NaN
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384143;51;15-jul-13;09:43:02;32.4603;3.9615;5.73991;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384144;25;15-jul-13;09:43:02;31.9435;5.5588;6.3963;0.752052441176471;2.285;0.4025;0;NaN;0;NaN;NaN
NED2013022_100;MFD_SETNO100;43.3407;-62.9777;384145;5;15-jul-13;09:43:02;30.6803;17.8792;4.81191;0.282650785714286;0.335;0.2;0.24;NaN;0;5.839;NaN
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384146;120;15-jul-13;12:03:03;34.9464;10.4566;3.75962;0.0184999789915966;5.485;0.694;9.415;34.9644432067871;0.08;4.4785;NaN
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384147;51;15-jul-13;12:03:03;32.7145;4.5143;5.66811;0.487711159663866;3.15;0.6475;3.985;NaN;0.285;NaN;NaN
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384148;26;15-jul-13;12:03:03;32.2985;8.798;6.36713;0.966924567226891;0.805;0.296;0;NaN;0;NaN;NaN
NED2013022_101;MFD_SETNO101;43.0847;-62.902;384149;5;15-jul-13;12:03:03;30.6591;18.5111;4.73777;0.232771235294118;0.22;0.183;0;NaN;0;5.718;NaN
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384150;157;15-jul-13;14:15:38;35.2255;11.0296;3.48145;0.0129499852941177;8.295;0.963;15.02;35.2411346435547;0.06;4.1865;NaN
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384151;50;15-jul-13;14:15:38;33.6207;8.7892;5.16877;0.590898346638655;2.895;0.466;2.81;NaN;0.21;NaN;NaN
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384152;25;15-jul-13;14:15:38;32.2878;12.3313;5.85806;0.559759399159664;0.725;0.2175;0;NaN;0;NaN;NaN
NED2013022_102;MFD_SETNO102;42.967;-63.1695;384153;5;15-jul-13;14:15:38;30.7264;18.6001;4.74798;0.210602546218487;0.18;0.169;0;NaN;0;5.626;NaN
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384154;165;15-jul-13;16:57:37;35.3008;11.2783;3.48052;0.0184999789915966;7.895;0.967;14.985;35.3120498657227;0.085;4.193;NaN
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384155;50;15-jul-13;16:57:37;33.3443;7.0158;4.76256;0.157249821428571;6.475;0.7615;7.775;NaN;0.09;NaN;NaN
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384156;25;15-jul-13;16:57:37;32.9611;12.4482;5.70085;1.1101726512605;1.73;0.234;0;NaN;0.08;NaN;NaN
NED2013022_103;MFD_SETNO103;42.9162;-63.5608;384157;5;15-jul-13;16:57:37;30.8407;18.7962;4.73949;0.254939924369748;0.65;0.1775;0;NaN;0;5.367;NaN
NED2013022_104;MFD_SETNO104;42.8137;-63.5808;384158;230;15-jul-13;19:02:11;35.2172;10.3152;3.06276;0.0184999789915966;10.36;1.201;19.55;35.2231292724609;0.08;3.6965;NaN
NED2013022_104;MFD_SETNO104;42.8137;-63.5808;384159;50;15-jul-13;19:02:11;33.44;7.1018;5.18864;0.193976029411765;5.345;0.7025;7.145;NaN;0.105;NaN;NaN
NED2013022_104;MFD_SETNO104;42.8137;-63.5808;384160;25;15-jul-13;19:02:11;32.2706;11.711;6.03923;0.365783369747899;0.84;0.212;0;NaN;0;NaN;NaN
NED2013022_104;MFD_SETNO104;42.8137;-63.5808;384161;5;15-jul-13;19:02:11;31.0574;19.2598;4.68805;0.216144718487395;0.675;0.1705;0;NaN;0;5.586;NaN
NED2013022_105;MFD_SETNO105;42.7577;-63.9045;384162;444;15-jul-13;22:38:04;34.9472;6.004;3.89723;0.016649981092437;12.41;1.242;19.27;34.959529876709;0.075;4.6345;NaN
NED2013022_105;MFD_SETNO105;42.7577;-63.9045;384163;51;15-jul-13;22:38:04;32.9075;5.4714;5.33357;0.11284987184874;6.24;0.7785;8.41;NaN;0.1;NaN;NaN
NED2013022_105;MFD_SETNO105;42.7577;-63.9045;384164;25;15-jul-13;22:38:04;32.3287;8.5838;6.39489;0.823676483193278;0;0.2865;0.19;NaN;0;NaN;NaN
NED2013022_105;MFD_SETNO105;42.7577;-63.9045;384165;5;15-jul-13;22:38:04;30.9532;19.1299;4.67059;0.193976029411765;0;0.271;0;NaN;0;5.599;NaN
NED2013022_106;MFD_SETNO106;42.79;-63.9553;384166;228;16-jul-13;00:46:56;35.198;9.8693;2.82281;0.0129499852941176;11.8;1.357;21.715;35.2043762207031;0.08;3.4735;NaN
NED2013022_106;MFD_SETNO106;42.79;-63.9553;384167;51;16-jul-13;00:46:56;32.9188;5.2965;5.25628;0.155180823529412;5.935;0.784;7.55;NaN;0.085;NaN;NaN
NED2013022_106;MFD_SETNO106;42.79;-63.9553;384168;25;16-jul-13;00:46:56;31.9537;6.7823;6.51646;0.931112546218487;0;0.3365;0.35;NaN;0;NaN;NaN
NED2013022_106;MFD_SETNO106;42.79;-63.9553;384169;5;16-jul-13;00:46:56;30.87;18.512;4.7697;0.221686890756303;0;0.1815;0.175;NaN;0;5.67;NaN
NED2013022_107;MFD_SETNO107;42.9342;-63.0712;384170;146;16-jul-13;05:20:56;35.2252;11.1068;3.55849;0.0369999579831933;8.065;0.9655;15.345;35.2373085021973;0.08;4.2815;NaN
NED2013022_107;MFD_SETNO107;42.9342;-63.0712;384171;51;16-jul-13;05:20:56;33.6744;8.2659;5.02247;0.243855579831933;3.585;0.5675;5.33;NaN;0.165;NaN;NaN
NED2013022_107;MFD_SETNO107;42.9342;-63.0712;384172;26;16-jul-13;05:20:56;32.7628;11.6087;5.92515;0.716240420168067;0;0.2085;0.18;NaN;0.03;NaN;NaN
NED2013022_107;MFD_SETNO107;42.9342;-63.0712;384173;5;16-jul-13;05:20:56;30.7896;18.9233;4.72623;0.232771235294118;0;0.1895;0.13;NaN;0;5.864;NaN
NED2013022_108;MFD_SETNO108;43.1218;-62.2152;384174;107;16-jul-13;10:04:16;34.3997;9.2744;4.47542;0.0406999537815126;5.78;0.7065;9.235;34.4185600280762;0.065;5.339;NaN
NED2013022_108;MFD_SETNO108;43.1218;-62.2152;384175;51;16-jul-13;10:04:16;33.267;5.8588;5.56969;0.24939775210084;3.265;0.535;3.23;NaN;0.155;NaN;NaN
NED2013022_108;MFD_SETNO108;43.1218;-62.2152;384176;26;16-jul-13;10:04:16;32.2059;7.3224;6.17429;0.931112546218487;0;0.275;0;NaN;0;NaN;NaN
NED2013022_108;MFD_SETNO108;43.1218;-62.2152;384177;5;16-jul-13;10:04:16;31.4913;18.0237;4.84889;0.232771235294118;0;0.1935;0;NaN;0;5.79;NaN
NED2013022_109;MFD_SETNO109;43.233;-62.5187;384178;99;16-jul-13;12:35:01;33.8947;7.7227;4.64848;0.0369999579831933;6.035;0.7265;8.35;33.817455291748;0.17;5.561;NaN
NED2013022_109;MFD_SETNO109;43.233;-62.5187;384179;50;16-jul-13;12:35:01;32.9544;4.8396;5.43556;0.354699025210084;4.155;0.638;3.77;NaN;0.24;NaN;NaN
NED2013022_109;MFD_SETNO109;43.233;-62.5187;384180;24;16-jul-13;12:35:01;32.4025;6.6628;6.40618;0.698334409663866;0;0.314;0.195;NaN;0;NaN;NaN
NED2013022_109;MFD_SETNO109;43.233;-62.5187;384181;4;16-jul-13;12:35:01;31.0045;18.7423;4.68209;0.199518201680672;0;0.171;0.28;NaN;0;5.61;NaN
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383827;130;04-jul-13;00:37:18;32.9879;6.0004;5.00004;0.0240499726890756;8.19;0.8275;9.06;33.002613067627;0.085;NaN;5.687
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383828;50;04-jul-13;00:37:18;32.3014;4.2949;5.68258;0.105449880252101;5.21;0.7295;5.64;NaN;0.29;NaN;NaN
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383829;25;04-jul-13;00:37:18;32.0184;8.7828;5.96565;1.44562084033613;2.605;0.3775;0.355;NaN;0.06;NaN;NaN
NED2013022_11;MFD_SETNO11;43.4625;-64.9983;383830;6;04-jul-13;00:37:18;31.1898;12.4253;5.65886;1.0385486092437;1.595;0.266;0.245;NaN;0.05;NaN;6.499
NED2013022_110;MFD_SETNO110;43.275;-62.7058;384182;100;16-jul-13;14:15:01;33.7045;7.1134;4.73333;0.0351499600840336;6.12;0.6775;9.065;33.7205619812012;0.145;5.6;NaN
NED2013022_110;MFD_SETNO110;43.275;-62.7058;384183;49;16-jul-13;14:15:01;32.8093;4.7503;5.59755;0.24939775210084;3.9;0.61;5.195;NaN;0.255;NaN;NaN
NED2013022_110;MFD_SETNO110;43.275;-62.7058;384184;25;16-jul-13;14:15:01;32.3221;7.9275;6.24684;0.787864462184874;0;0.2795;0.39;NaN;0.03;NaN;NaN
NED2013022_110;MFD_SETNO110;43.275;-62.7058;384185;5;16-jul-13;14:15:01;30.6995;18.3849;4.76007;0.210602546218487;0;0.1655;0.47;NaN;0;5.79;NaN
NED2013022_111;MFD_SETNO111;43.4953;-62.4898;384186;86;16-jul-13;16:33:01;33.2008;5.6978;4.95872;0.0850999033613446;6.215;0.6635;9.13;33.2115364074707;0.315;5.8455;NaN
NED2013022_111;MFD_SETNO111;43.4953;-62.4898;384187;51;16-jul-13;16:33:01;32.6397;4.4512;5.73664;1.0385486092437;0;0.3085;0.44;NaN;0.04;NaN;NaN
NED2013022_111;MFD_SETNO111;43.4953;-62.4898;384188;25;16-jul-13;16:33:01;32.0879;5.8926;6.60561;0.966924567226891;1.23;0.3735;0;NaN;0;NaN;NaN
NED2013022_111;MFD_SETNO111;43.4953;-62.4898;384189;5;16-jul-13;16:33:01;30.8197;18.5239;4.74781;0.22722906302521;0.655;0.1995;0;NaN;0;6.007;NaN
NED2013022_112;MFD_SETNO112;43.6605;-62.4133;384190;74;16-jul-13;18:40:05;33.2201;5.8828;4.97437;0.0554999369747899;6.09;0.7705;8.425;33.1883773803711;0.1;5.9125;NaN
NED2013022_112;MFD_SETNO112;43.6605;-62.4133;384191;50;16-jul-13;18:40:05;32.4915;4.4168;5.52168;NaN;2.54;0.514;0.485;NaN;0.065;NaN;NaN
NED2013022_112;MFD_SETNO112;43.6605;-62.4133;384192;25;16-jul-13;18:40:05;31.8828;4.6375;6.44804;0.498795504201681;0.47;0.186;0;NaN;0;NaN;NaN
NED2013022_112;MFD_SETNO112;43.6605;-62.4133;384193;5;16-jul-13;18:40:05;30.7862;18.9636;4.72508;0.193976029411765;13.45;1.102;15.98;NaN;0.06;5.801;NaN
NED2013022_113;MFD_SETNO113;43.8893;-62.344;384194;147;16-jul-13;21:09:47;34.5957;9.4272;3.2222;0.0184999789915966;4.31;0.713;4.165;34.6007461547852;0.255;3.89;NaN
NED2013022_113;MFD_SETNO113;43.8893;-62.344;384195;51;16-jul-13;21:09:47;32.5399;4.2985;5.57868;0.282650785714286;0.925;0.3215;0.245;NaN;0.04;NaN;NaN
NED2013022_113;MFD_SETNO113;43.8893;-62.344;384196;25;16-jul-13;21:09:47;32.1947;7.2681;6.59603;0.787864462184874;NaN;NaN;NaN;NaN;NaN;NaN;NaN
