CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263450;171;05-jul-04;22:35:12;33.873;6.382;3.128;0.0311546511627907;14.4535;1.3145;15.091;33.902;4.184
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263451;100;05-jul-04;22:35:12;32.896;2.95;3.8571;0.0830790697674418;8.9385;1.068;9.292;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263452;75;05-jul-04;22:35:12;32.566;2.094;3.9463;0.268498062015504;4.8525;0.954;6.016;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263453;50;05-jul-04;22:35:12;32.315;2.255;3.8527;0.600459302325581;2.5585;0.7595;2.752;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263454;40;05-jul-04;22:35:12;32.268;3.852;3.8812;0.971741085271318;1.255;0.4945;0;32.221;7.3515
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263455;30;05-jul-04;22:35:12;31.996;5.13;3.9254;0.919683527131783;0.825;0.4565;0;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263456;20;05-jul-04;22:35:12;31.671;7.362;3.7305;0.607338178294573;0.533;0.3755;0;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263457;10;05-jul-04;22:35:12;31.711;12.018;3.8792;0.322197674418605;0.9495;0.364;0;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263458;5;05-jul-04;22:35:12;31.438;13.013;3.9455;0.283143410852713;0.4185;0.368;0;NaN;NaN
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263459;1;05-jul-04;22:35:12;31.352;13.49;3.8925;0.263616279069767;0.566;0.301;0;31.189;6.253
