CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287617;145;18-feb-06;19:52:53;33.3;5.6353;3.75768;3.75768;5.6353;33.3
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287618;98;18-feb-06;19:52:53;32.363;3.3954;4.53624;4.53624;3.3954;32.363
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287619;75;18-feb-06;19:52:53;31.486;2.6811;5.32891;5.32891;2.6811;31.486
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287620;48;18-feb-06;19:52:53;30.886;1.6372;5.66898;5.66898;1.6372;30.886
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287621;41;18-feb-06;19:52:53;30.881;1.6381;5.67048;5.67048;1.6381;30.881
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287622;29;18-feb-06;19:52:53;30.879;1.6359;5.66045;5.66045;1.6359;30.879
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287623;20;18-feb-06;19:52:53;30.88;1.6377;5.66083;5.66083;1.6377;30.88
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287624;10;18-feb-06;19:52:53;30.878;1.632;5.64926;5.64926;1.632;30.878
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287625;4;18-feb-06;19:52:53;30.878;1.6343;5.6257;5.6257;1.6343;30.878
TEL2006614_0;MFD_SETNO0;44.270333;-63.3225;287626;3;18-feb-06;19:52:53;30.878;1.6344;5.62715;5.62715;1.6344;30.878
TEL2006614_12;MFD_SETNO12;42.0615;-66.82;287643;64;21-feb-06;03:45:13;32.825;5.3277;5.12028;5.12028;5.3277;32.825
TEL2006614_12;MFD_SETNO12;42.0615;-66.82;287644;5;21-feb-06;03:45:13;32.781;5.2339;5.12746;5.12746;5.2339;32.781
TEL2006614_12;MFD_SETNO12;42.0615;-66.82;287645;1;21-feb-06;03:45:13;32.782;5.2265;5.14046;5.14046;5.2265;32.782
TEL2006614_15;MFD_SETNO15;42.1695;-66.883833;287648;122;21-feb-06;12:25:40;33.559;6.6743;4.22284;4.22284;6.6743;33.559
TEL2006614_15;MFD_SETNO15;42.1695;-66.883833;287649;5;21-feb-06;12:25:40;32.377;4.5685;5.21473;5.21473;4.5685;32.377
TEL2006614_15;MFD_SETNO15;42.1695;-66.883833;287650;3;21-feb-06;12:25:40;32.376;4.5704;5.21809;5.21809;4.5704;32.376
TEL2006614_17;MFD_SETNO17;41.972;-66.734167;287652;76;21-feb-06;18:04:31;32.78;5.2545;5.13239;5.13239;5.2545;32.78
TEL2006614_17;MFD_SETNO17;41.972;-66.734167;287653;5;21-feb-06;18:04:31;32.762;5.3173;5.15691;5.15691;5.3173;32.762
TEL2006614_17;MFD_SETNO17;41.972;-66.734167;287654;2;21-feb-06;18:04:31;32.762;5.3168;5.15843;5.15843;5.3168;32.762
TEL2006614_21;MFD_SETNO21;41.792667;-66.586333;287658;71;22-feb-06;00:43:55;32.773;5.3004;5.16082;5.16082;5.3004;32.773
TEL2006614_21;MFD_SETNO21;41.792667;-66.586333;287659;5;22-feb-06;00:43:55;32.775;5.288;5.15092;5.15092;5.288;32.775
TEL2006614_21;MFD_SETNO21;41.792667;-66.586333;287660;2;22-feb-06;00:43:55;32.776;5.2868;5.16563;5.16563;5.2868;32.776
TEL2006614_25;MFD_SETNO25;41.727833;-66.515833;287664;73;22-feb-06;12:36:55;32.741;5.3143;5.09723;5.09723;5.3143;32.741
TEL2006614_25;MFD_SETNO25;41.727833;-66.515833;287665;5;22-feb-06;12:36:55;32.741;5.3029;5.11247;5.11247;5.3029;32.741
TEL2006614_25;MFD_SETNO25;41.727833;-66.515833;287666;3;22-feb-06;12:36:55;32.741;5.3017;5.10048;5.10048;5.3017;32.741
TEL2006614_29;MFD_SETNO29;41.965667;-66.484;287670;78;22-feb-06;21:02:40;32.666;5.197;5.09672;5.09672;5.197;32.666
TEL2006614_29;MFD_SETNO29;41.965667;-66.484;287671;5;22-feb-06;21:02:40;32.108;4.2207;5.37143;5.37143;4.2207;32.108
TEL2006614_29;MFD_SETNO29;41.965667;-66.484;287672;2;22-feb-06;21:02:40;32.106;4.2186;5.37132;5.37132;4.2186;32.106
TEL2006614_32;MFD_SETNO32;41.895;-66.279333;287675;82;23-feb-06;00:12:14;32.695;5.3439;5.0517;5.0517;5.3439;32.695
