CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;OXY_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(ml/l)
TEM2008775_100;MFD_SETNO100;42.666267;-65.360383;321129;94;20-mar-08;17:05:00;32.7952;4.2769;5.5187;0.0519914793650794;11.716;1.1395;10.5195;32.861;6.151
TEM2008775_100;MFD_SETNO100;42.666267;-65.360383;321130;5;20-mar-08;17:05:00;31.4968;1.4843;7.35018;0.49440325;7.613;0.906;5.44;NaN;8.234
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321131;138;21-mar-08;05:48:00;33.0086;3.8173;5.59068;0.0355731174603175;10.006;1.0465;8.6955;32.933;6.2345
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321132;101;21-mar-08;05:48:00;31.889;1.0809;7.37084;0.125874107936508;7.8995;0.827;7.3545;NaN;NaN
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321133;77;21-mar-08;05:48:00;31.6689;0.4941;7.60196;0.163021333333333;7.2815;0.757;6.456;NaN;NaN
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321134;51;21-mar-08;05:48:00;31.4115;-0.0648;7.68798;0.7215615;8.6445;0.9645;5.961;NaN;NaN
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321135;42;21-mar-08;05:48:00;31.4005;-0.1021;7.69558;0.6681125;7.487;0.799;6.4155;31.443;8.565
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321136;30;21-mar-08;05:48:00;31.3674;-0.1967;7.68497;0.54785225;6.627;0.742;5.6915;NaN;NaN
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321137;21;21-mar-08;05:48:00;31.3661;-0.2019;7.68736;0.60130125;7.298;0.796;6.334;NaN;NaN
TEM2008775_101;MFD_SETNO101;44.27075;-63.31605;321138;11;21-mar-08;05:48:00;31.4046;-0.2128;6.63546;0.5612145;8.805;0.932;6.3135;NaN;NaN
