CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321141;150;06-jul-08;02:14:22;33.9106;6.5871;2.6844;2.6844;6.5871;33.9106
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321142;100;06-jul-08;02:14:22;32.7326;2.7488;3.66194;3.66194;2.7488;32.7326
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321143;75;06-jul-08;02:14:22;32.3377;2.1087;4.07656;4.07656;2.1087;32.3377
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321144;49;06-jul-08;02:14:22;32.1289;2.1591;4.24168;4.24168;2.1591;32.1289
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321145;40;06-jul-08;02:14:22;31.9481;2.285;4.45315;4.45315;2.285;31.9481
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321146;30;06-jul-08;02:14:22;31.851;3.5851;4.51828;4.51828;3.5851;31.851
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321147;20;06-jul-08;02:14:22;31.5007;3.1694;4.54225;4.54225;3.1694;31.5007
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321148;10;06-jul-08;02:14:22;31.0857;7.0606;4.34006;4.34006;7.0606;31.0857
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321149;5;06-jul-08;02:14:22;30.5521;12.4231;3.87686;3.87686;12.4231;30.5521
TEM2008830_1;MFD_SETNO1;44.272717;-63.319433;321150;2;06-jul-08;02:14:22;30.6251;13.2553;3.84657;3.84657;13.2553;30.6251
TEM2008830_10;MFD_SETNO10;43.3519;-63.445433;321179;139;07-jul-08;06:16:04;34.5248;8.0711;2.41568;2.41568;8.0711;34.5248
TEM2008830_10;MFD_SETNO10;43.3519;-63.445433;321180;51;07-jul-08;06:16:04;32.0793;2.9021;4.42411;4.42411;2.9021;32.0793
TEM2008830_10;MFD_SETNO10;43.3519;-63.445433;321181;26;07-jul-08;06:16:04;31.5635;3.6913;4.71313;4.71313;3.6913;31.5635
TEM2008830_10;MFD_SETNO10;43.3519;-63.445433;321182;5;07-jul-08;06:16:04;31.1219;15.4982;3.63823;3.63823;15.4982;31.1219
TEM2008830_100;MFD_SETNO100;43.807617;-62.081533;321504;114;18-jul-08;23:53:17;34.1084;7.4071;2.93547;2.93547;7.4071;34.1084
TEM2008830_100;MFD_SETNO100;43.807617;-62.081533;321505;50;18-jul-08;23:53:17;32.4261;3.1849;4.36714;4.36714;3.1849;32.4261
TEM2008830_100;MFD_SETNO100;43.807617;-62.081533;321506;25;18-jul-08;23:53:17;32.042;4.4738;4.81605;4.81605;4.4738;32.042
TEM2008830_100;MFD_SETNO100;43.807617;-62.081533;321507;5;18-jul-08;23:53:17;30.8809;18.3768;3.47634;3.47634;18.3768;30.8809
TEM2008830_101;MFD_SETNO101;44.136733;-62.25425;321508;161;20-jul-08;07:44:51;34.5763;8.1467;2.14498;2.14498;8.1467;34.5763
TEM2008830_101;MFD_SETNO101;44.136733;-62.25425;321509;50;20-jul-08;07:44:51;32.4129;2.5961;4.28291;4.28291;2.5961;32.4129
TEM2008830_101;MFD_SETNO101;44.136733;-62.25425;321510;26;20-jul-08;07:44:51;32.0868;5.2177;4.83672;4.83672;5.2177;32.0868
TEM2008830_101;MFD_SETNO101;44.136733;-62.25425;321511;5;20-jul-08;07:44:51;31.0719;17.152;3.61511;3.61511;17.152;31.0719
TEM2008830_102;MFD_SETNO102;43.877233;-62.066317;321512;130;20-jul-08;10:30:14;34.2933;7.9938;2.79784;2.79784;7.9938;34.2933
TEM2008830_102;MFD_SETNO102;43.877233;-62.066317;321513;51;20-jul-08;10:30:14;32.4832;3.2761;4.32494;4.32494;3.2761;32.4832
TEM2008830_102;MFD_SETNO102;43.877233;-62.066317;321514;25;20-jul-08;10:30:14;32.2499;5.8977;4.71307;4.71307;5.8977;32.2499
TEM2008830_102;MFD_SETNO102;43.877233;-62.066317;321515;5;20-jul-08;10:30:14;30.6406;17.6951;3.60071;3.60071;17.6951;30.6406
TEM2008830_103;MFD_SETNO103;43.772217;-61.768333;321516;73;20-jul-08;12:56:12;32.7534;3.707;4.04943;4.04943;3.707;32.7534
TEM2008830_103;MFD_SETNO103;43.772217;-61.768333;321517;50;20-jul-08;12:56:12;32.7007;3.8253;4.12061;4.12061;3.8253;32.7007
