CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));((none));((none));((none))
NED2003036_00A;MFD_SETNO00A;44.2555;63.32;257004;50;26-jun-03;13:05:16;32.106;0.622;3.5086;0.12808023255814;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00A;MFD_SETNO00A;44.2555;63.32;257003;75;26-jun-03;13:05:16;32.328;0.635;3.4207;0.0536552325581395;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00A;MFD_SETNO00A;44.2555;63.32;257001;139;26-jun-03;13:05:16;34.363;8.391;2.2939;0.020503488372093;1;34.322;1;3.69;7;256;NaN;NaN
NED2003036_00E;MFD_SETNO00A;44.2555;63.32;-999999;100;26-jun-03;13:05:16;2.7056;3.3845;2.8202;NaN;9;2.4836;7;1.71;7;256;NaN;NaN
NED2003036_00B;MFD_SETNO00B;44.256333;63.301;257007;20;26-jun-03;13:39:20;31.794;6.619;2.2938;0.351488372093023;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00B;MFD_SETNO00B;44.256333;63.301;257006;30;26-jun-03;13:39:20;31.934;3.249;2.6958;0.317315891472868;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00B;MFD_SETNO00B;44.256333;63.301;257002;100;26-jun-03;13:39:20;32.59;1.542;2.8266;0.117695348837209;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00C;MFD_SETNO00C;44.258667;63.302667;257010;1;26-jun-03;14:11:18;29.196;10.792;1.6162;0.248970930232558;1;31.053;7;6.553;7;256;NaN;NaN
NED2003036_00C;MFD_SETNO00C;44.258667;63.302667;257009;5;26-jun-03;14:11:18;31.027;10.802;1.5222;0.253852713178295;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00C;MFD_SETNO00C;44.258667;63.302667;257008;10;26-jun-03;14:11:18;31.289;10.289;1.9464;0.312434108527132;1;NaN;9;NaN;9;0;NaN;NaN
NED2003036_00C;MFD_SETNO00C;44.258667;63.302667;257005;40;26-jun-03;14:11:18;32.101;1.508;2.6377;0.989093604651163;1;32.063;1;7.984;7;256;NaN;NaN
NED2003036_1;MFD_SETNO1;44.024833;63.764;257014;5;02-jul-03;23:48:00;2.3229;1.8853;2.5992;2.5602;1;2.1182;7;2.5251;1;256;NaN;NaN
NED2003036_1;MFD_SETNO1;44.024833;63.764;257013;25;02-jul-03;23:48:00;2.1127;2.471;2.5597;1.7729;1;1.6687;7;2.6595;1;256;NaN;NaN
NED2003036_1;MFD_SETNO1;44.024833;63.764;257012;50;02-jul-03;23:48:00;2.8879;1.8766;1.8812;2.6872;1;2.2992;7;2.9255;7;256;NaN;NaN
NED2003036_1;MFD_SETNO1;44.024833;63.764;257011;191;02-jul-03;23:48:00;2.8335;2.5696;3.4443;6.5301;1;2.9632;3;3.1475;1;16;NaN;NaN
NED2003036_2;MFD_SETNO2;43.685833;64.311333;257018;5;03-jul-03;03:24:59;NaN;3.06615910852713;NaN;2.8188;1;8.04;1;32.81;4;6;NaN;NaN
NED2003036_2;MFD_SETNO2;43.685833;64.311333;257017;25;03-jul-03;03:24:59;NaN;2.81110813953488;6.146;2.7041;1;7.374;1;33.043;4;6;NaN;NaN
NED2003036_2;MFD_SETNO2;43.685833;64.311333;257016;50;03-jul-03;03:24:59;33.054;0.607338178294574;NaN;2.7362;1;7.377;7;33.048;4;262;NaN;NaN
NED2003036_2;MFD_SETNO2;43.685833;64.311333;257015;179;03-jul-03;03:24:59;30.872;0.642043217054264;5.846;4.8716;1;16.122;7;30.913;4;262;NaN;NaN
NED2003036_3;MFD_SETNO3;43.631667;64.094333;257022;5;03-jul-03;06:01:19;NaN;1.21467635658915;NaN;2.6378;1;8.555;7;32.787;4;518;NaN;NaN
NED2003036_3;MFD_SETNO3;43.631667;64.094333;257021;25;03-jul-03;06:01:19;NaN;1.8914246124031;NaN;2.4776;1;5.787;7;32.893;4;518;NaN;NaN
NED2003036_3;MFD_SETNO3;43.631667;64.094333;257020;50;03-jul-03;06:01:19;33.777;0.884978488372093;5.114;2.3017;1;6.836;7;33.787;4;262;NaN;NaN
NED2003036_3;MFD_SETNO3;43.631667;64.094333;257019;215;03-jul-03;06:01:19;32.319;0.0311546511627907;4.528;2.1364;1;12.532;7;32.605;4;262;NaN;NaN
NED2003036_4;MFD_SETNO4;43.434667;64.757167;257026;5;03-jul-03;09:49:00;NaN;5.56066143410853;NaN;2.5015;1;7.371;1;32.47;4;6;NaN;NaN
NED2003036_4;MFD_SETNO4;43.434667;64.757167;257025;25;03-jul-03;09:49:00;NaN;2.96222151162791;NaN;2.4973;1;7.25;1;32.536;4;6;NaN;NaN
NED2003036_4;MFD_SETNO4;43.434667;64.757167;257024;50;03-jul-03;09:49:00;33.434;2.89787073643411;5.254;2.2338;1;6.518;7;33.42;4;262;NaN;NaN
NED2003036_4;MFD_SETNO4;43.434667;64.757167;257023;59;03-jul-03;09:49:00;NaN;0.209916666666667;NaN;2.5148;1;8.838;1;32.371;4;6;NaN;NaN
NED2003036_5;MFD_SETNO5;43.318167;64.7665;257030;5;03-jul-03;11:57:27;NaN;1.83936705426357;NaN;5.1106;1;8.168;1;32.099;4;6;NaN;NaN
NED2003036_5;MFD_SETNO5;43.318167;64.7665;257029;25;03-jul-03;11:57:27;32.108;2.59843992248062;7.0615;5.1412;1;8.167;7;32.099;4;262;NaN;NaN
NED2003036_5;MFD_SETNO5;43.318167;64.7665;257028;50;03-jul-03;11:57:27;31.603;2.23465833333333;7.215;4.0091;1;9.364;7;31.66;4;262;NaN;NaN
NED2003036_5;MFD_SETNO5;43.318167;64.7665;257027;78;03-jul-03;11:57:27;NaN;1.31879147286822;NaN;4.8785;1;9.078;1;31.695;4;6;NaN;NaN
NED2003036_6;MFD_SETNO6;43.261667;64.927667;257034;5;03-jul-03;14:29:48;NaN;2.79375562015504;NaN;4.4964;1;7.585;1;32.999;4;6;NaN;NaN
NED2003036_6;MFD_SETNO6;43.261667;64.927667;257033;25;03-jul-03;14:29:48;NaN;0.902331007751938;NaN;4.453;1;7.098;1;33.032;4;6;NaN;NaN
NED2003036_6;MFD_SETNO6;43.261667;64.927667;257032;50;03-jul-03;14:29:48;33.851;0.21968023255814;4.652;3.9071;1;6.868;7;33.838;4;262;NaN;NaN
NED2003036_6;MFD_SETNO6;43.261667;64.927667;257031;156;03-jul-03;14:29:48;32.716;0.0634631782945737;7.5265;4.1858;1;11.864;7;32.89;4;262;NaN;NaN
NED2003036_7;MFD_SETNO7;43.203833;64.9455;257038;5;03-jul-03;15:53:55;NaN;0.390542635658915;NaN;4.4674;1;10.364;7;32.515;4;518;NaN;NaN
NED2003036_7;MFD_SETNO7;43.203833;64.9455;257037;25;03-jul-03;15:53:55;NaN;1.05850368217054;NaN;4.4441;1;7.044;7;33.059;4;518;NaN;NaN
NED2003036_7;MFD_SETNO7;43.203833;64.9455;257036;50;03-jul-03;15:53:55;35.128;0.34172480620155;4.072;3.3007;1;8.506;7;35.115;4;262;NaN;NaN
NED2003036_7;MFD_SETNO7;43.203833;64.9455;257035;163;03-jul-03;15:53:55;32.278;NaN;6.2745;3.681;1;15.857;7;32.32;4;262;NaN;NaN
NED2003036_9;MFD_SETNO9;43.213333;65.264333;257042;5;03-jul-03;20:12:46;NaN;0.28802519379845;NaN;4.3952;1;4.219;7;32.151;4;518;NaN;NaN
NED2003036_9;MFD_SETNO9;43.213333;65.264333;257041;25;03-jul-03;20:12:46;NaN;0.62975;NaN;4.4743;1;2.045;7;32.326;4;518;NaN;NaN
NED2003036_9;MFD_SETNO9;43.213333;65.264333;257040;50;03-jul-03;20:12:46;33.129;0.258734496124031;4.9965;3.9522;1;4.189;7;33.135;4;262;NaN;NaN
NED2003036_9;MFD_SETNO9;43.213333;65.264333;257039;138;03-jul-03;20:12:46;31.246;0.0519244186046512;6.314;3.7601;1;16.425;7;31.378;4;262;NaN;NaN
