CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;PSAL_BS;Q_PSAL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(PSU);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2005027_1;MFD_SETNO1;44.32031;63.292183;273812;122;27-jun-05;23:58:08;32.676;3.746;5.7895;32.826;7;7.188;1;0.875;1;6.8065;1;256;8.21;1.06
NED2005027_3;MFD_SETNO3;44.370667;61.393333;273814;198;28-jun-05;09:42:17;34.006;7.434;3.6857;34.203;7;14.5595;1;1.224;1;14.5275;1;256;11.90;1.00
NED2005027_4;MFD_SETNO4;44.462952;60.900708;273815;80;28-jun-05;13:09:10;6.7286;7.079;6.8919;7.0442;7;6.9321;1;6.5375;4;6.9868;1;262;NaN;0.99
NED2005027_8;MFD_SETNO8;44.160167;60.687167;273819;47;28-jun-05;21:41:26;6.8346;7.0479;6.5527;6.5416;7;7.1202;1;6.8373;4;6.4902;1;262;NaN;1.10
NED2005027_9;MFD_SETNO9;44.16;60.789667;273820;21;28-jun-05;23:15:30;6.4605;7.0159;7.3155;6.7041;7;6.6675;1;6.9032;4;6.8841;1;262;NaN;0.97
NED2005027_10;MFD_SETNO10;44.080747;61.11214;273821;57;29-jun-05;01:28:11;32.414;4.864;6.2682;32.629;7;2.1435;1;0.7405;1;4.555;1;256;2.89;0.47
NED2005027_13;MFD_SETNO13;43.7415;60.651833;273824;60;29-jun-05;09:14:59;33.065;5.896;5.9813;33.253;7;4.2995;1;0.713;1;4.979;1;256;6.03;0.86
NED2005027_14;MFD_SETNO14;43.543147;60.711673;273825;63;29-jun-05;10:46:08;32.686;5.44;6.2389;32.824;7;2.061;1;0.6655;1;3.4095;1;256;3.10;0.60
NED2005027_15;MFD_SETNO15;43.582;60.959833;273826;63;29-jun-05;12:46:19;32.762;6.246;6.2811;33.003;7;0.675;1;0.515;1;2.5035;1;256;1.31;0.27
NED2005027_19;MFD_SETNO19;43.439667;61.664833;273830;70;29-jun-05;22:18:40;33.046;5.71;6.2287;33.253;7;3.6695;1;0.6515;1;4.902;1;256;5.63;0.75
NED2005027_20;MFD_SETNO20;43.685333;61.981402;273831;94;30-jun-05;01:19:37;33.581;6.27;5.393;33.803;7;9.8635;1;0.917;1;9.0185;1;256;10.76;1.09
NED2005027_21;MFD_SETNO21;43.6205;61.999833;273832;94;30-jun-05;03:12:20;33.511;6.25;5.4565;33.713;7;9.65;1;0.915;1;9.722;1;256;10.55;0.99
NED2005027_22;MFD_SETNO22;43.42254;62.147753;273833;102;30-jun-05;04:56:02;33.946;7.372;5.2479;34.17;7;9.724;1;0.849;1;8.1745;1;256;11.45;1.19
NED2005027_23;MFD_SETNO23;43.291373;62.08646;273834;91;30-jun-05;07:22:18;33.814;7.267;5.4853;34.014;7;8.8745;1;0.8115;1;7.3455;1;256;10.94;1.21
NED2005027_24;MFD_SETNO24;43.289743;62.257418;273835;88;30-jun-05;09:11:23;33.657;6.474;5.3153;33.701;1;8.8925;1;0.848;1;7.9515;1;0;10.49;1.12
NED2005027_25;MFD_SETNO25;43.209597;62.3832;273836;91;30-jun-05;10:48:34;33.658;6.463;5.4359;33.901;7;10.4385;1;0.9155;1;8.7255;1;256;11.40;1.20
NED2005027_26;MFD_SETNO26;43.278333;62.619;273837;89;30-jun-05;12:39:03;33.471;6.407;5.4344;33.682;7;9.7895;1;0.9215;1;6.5725;1;256;10.62;1.49
NED2005027_27;MFD_SETNO27;43.253833;62.824167;273838;100;30-jun-05;14:17:29;33.946;7.313;5.0782;34.137;7;12.2305;1;0.9825;1;8.288;1;256;12.45;1.48
NED2005027_28;MFD_SETNO28;42.928545;62.883973;273839;122;30-jun-05;16:53:37;34.379;8.473;4.7669;34.587;7;13.8305;1;1.018;1;9.4005;1;256;13.59;1.47
NED2005027_29;MFD_SETNO29;43.379917;62.94383;273840;100;30-jun-05;20:03:06;34.147;8.115;4.7691;34.347;7;13.7;1;1.0325;1;9.482;1;256;13.27;1.44
NED2005027_30;MFD_SETNO30;43.499885;62.636338;273841;97;01-jul-05;00:53:53;33.611;6.612;5.1869;33.816;7;10.93;1;0.952;1;7.537;1;256;11.48;1.45
NED2005027_31;MFD_SETNO31;43.834458;62.53057;0;5;01-jul-05;03:35:30;6.4016;6.6992;6.3158;6.412;1;NaN;9;6.2806;4;6.9083;1;6;NaN;NaN
NED2005027_31;MFD_SETNO31;43.834458;62.53057;273842;157;01-jul-05;03:35:30;6.4858;6.2583;6.9173;6.3991;7;6.816;1;6.4081;4;6.6705;1;262;NaN;1.02
