CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295862;2;20-jul-06;21:20:48;31.075;18.2468;4.23417;0.199891548387097;1;31.127;1;5.7345;7;0.1515;1;0.2805;1;0.792;1;256;0.54;0.19
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295861;5;20-jul-06;21:20:48;31.0747;18.3794;4.22328;0.187653290322581;1;NaN;9;NaN;9;0.022;1;0.2345;1;0.6875;1;0;0.09;0.03
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295860;10;20-jul-06;21:20:48;31.4646;10.0962;5.24876;0.224368064516129;1;NaN;9;NaN;9;0.007;1;0.2435;1;0.6505;1;0;0.03;0.01
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295859;20;20-jul-06;21:20:48;31.7771;5.6684;5.59239;0.460974387096774;1;NaN;9;NaN;9;5e-04;1;0.3605;1;1;1;0;0.00;0.00
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295858;30;20-jul-06;21:20:48;31.9036;3.5551;5.30486;1.21012025806452;1;NaN;9;NaN;9;1.409;1;0.554;1;2.298;1;0;2.54;0.61
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295857;41;20-jul-06;21:20:48;32.2195;3.4933;4.88062;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295856;50;20-jul-06;21:20:48;32.3965;3.9474;4.7645;0.403862516129032;1;32.474;1;6.167;7;5.8275;1;0.827;1;4.843;1;256;7.05;1.20
NED2006036_0;MFD_SETNO0;44.271967;-63.323117;295855;75;20-jul-06;21:20:48;32.6942;3.8759;4.2108;0.0449693548387097;1;NaN;9;NaN;9;10.066;1;1.065;1;10.0995;1;0;9.45;1.00
