CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326510;2;11-feb-09;20:05:28;30.946;-0.6516;4.55283;4.55283;1;-0.6516;1;30.946;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326509;5;11-feb-09;20:05:28;30.9457;-0.6522;4.557;4.557;1;-0.6522;1;30.9457;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326508;11;11-feb-09;20:05:28;30.946;-0.6545;4.56222;4.56222;1;-0.6545;1;30.946;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326507;20;11-feb-09;20:05:28;30.9465;-0.6473;4.56158;4.56158;1;-0.6473;1;30.9465;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326506;30;11-feb-09;20:05:28;30.9478;-0.6416;4.56064;4.56064;1;-0.6416;1;30.9478;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326505;40;11-feb-09;20:05:28;31.0306;-0.3023;4.52919;4.52919;1;-0.3023;1;31.0306;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326504;51;11-feb-09;20:05:28;31.4139;0.5806;4.34196;4.34196;1;0.5806;1;31.4139;1;0;NaN;NaN
NED2009841_1;MFD_SETNO1;44.2676;-63.3363;326503;76;11-feb-09;20:05:28;31.8547;1.5958;4.0084;4.0084;1;1.5958;1;31.8547;1;0;NaN;NaN
