CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353010;4;05-feb-11;14:16:03;30.2818;1.977;NaN;0.469746831010453;1;30.778;7;7.248;1;1.039;1;4.076;1;0.9165;1;6.132;1;256;4.45;0.66
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353009;6;05-feb-11;14:16:03;30.3818;1.979;NaN;0.440902727351916;1;NaN;9;NaN;9;0.974;1;3.927;1;0.9355;1;6.2005;1;0;4.20;0.63
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353008;10;05-feb-11;14:16:03;30.6218;1.98;NaN;0.469746831010453;1;NaN;9;NaN;9;0.914;1;4.063;1;0.931;1;6.149;1;0;4.36;0.66
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353007;20;05-feb-11;14:16:03;31.0118;2.2978;NaN;0.362611588850174;1;NaN;9;NaN;9;0.853;1;3.9635;1;0.9145;1;5.6285;1;0;4.33;0.70
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353006;30;05-feb-11;14:16:03;31.0444;2.35;NaN;0.280199864111498;1;NaN;9;NaN;9;0.803;1;3.959;1;0.9235;1;5.568;1;0;4.29;0.71
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353005;40;05-feb-11;14:16:03;31.067;2.4054;NaN;0.276079277874564;1;31.081;1;6.992;1;0.746;1;3.9865;1;0.93;1;5.6085;1;0;4.29;0.71
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353004;50;05-feb-11;14:16:03;31.0821;2.42;NaN;0.271958691637631;1;NaN;9;NaN;9;0.6885;1;3.9595;1;0.9325;1;5.585;1;0;4.25;0.71
NED2011002_0;MFD_SETNO0;44.27;-63.3183;353003;76;05-feb-11;14:16:03;31.4512;2.516;NaN;0.387335106271777;1;NaN;9;NaN;9;0.271;1;3.8235;1;0.912;1;4.926;1;0;4.19;0.78
