CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263459;1;05-jul-04;22:35:12;31.352;13.49;3.8925;0.263616279069767;1;31.189;7;6.253;7;0;1;0.301;1;0.566;1;256;0.00;0.00
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263458;5;05-jul-04;22:35:12;31.438;13.013;3.9455;0.283143410852713;1;NaN;9;NaN;9;0;1;0.368;1;0.4185;1;0;0.00;0.00
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263457;10;05-jul-04;22:35:12;31.711;12.018;3.8792;0.322197674418605;1;NaN;9;NaN;9;0;1;0.364;1;0.9495;1;0;0.00;0.00
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263456;20;05-jul-04;22:35:12;31.671;7.362;3.7305;0.607338178294573;1;NaN;9;NaN;9;0;1;0.3755;1;0.533;1;0;0.00;0.00
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263455;30;05-jul-04;22:35:12;31.996;5.13;3.9254;0.919683527131783;1;NaN;9;NaN;9;0;1;0.4565;1;0.825;1;0;0.00;0.00
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263454;40;05-jul-04;22:35:12;32.268;3.852;3.8812;0.971741085271318;1;32.221;1;7.3515;7;0;1;0.4945;1;1.255;1;256;0.00;0.00
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263453;50;05-jul-04;22:35:12;32.315;2.255;3.8527;0.600459302325581;1;NaN;9;NaN;9;2.752;1;0.7595;1;2.5585;1;0;3.62;1.08
TEL2004529_0;MFD_SETNO0;44.27075;63.325017;263452;75;05-jul-04;22:35:12;32.566;2.094;3.9463;0.268498062015504;1;NaN;9;NaN;9;6.016;1;0.954;1;4.8525;1;0;6.31;1.24
