CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304652;2;07-jul-07;22:18:43;30.8131;11.6824;5.03336;5.03336;1;11.6824;1;30.8131;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304651;6;07-jul-07;22:18:43;30.7422;11.6739;5.04202;5.04202;1;11.6739;1;30.7422;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304650;10;07-jul-07;22:18:43;30.8015;11.1754;5.0806;5.0806;1;11.1754;1;30.8015;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304649;20;07-jul-07;22:18:43;31.2433;5.1399;5.7409;5.7409;1;5.1399;1;31.2433;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304648;31;07-jul-07;22:18:43;31.8438;3.7165;5.80929;5.80929;1;3.7165;1;31.8438;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304647;40;07-jul-07;22:18:43;32.0028;1.3231;5.4606;5.4606;1;1.3231;1;32.0028;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304646;50;07-jul-07;22:18:43;32.2925;1.4171;5.31693;5.31693;1;1.4171;1;32.2925;1;0;NaN;NaN
TEL2007745_0;MFD_SETNO0;44.27055;-63.324717;304645;76;07-jul-07;22:18:43;32.522;1.5988;5.00246;5.00246;1;1.5988;1;32.522;1;0;NaN;NaN
