CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
TEM2008775_2;MFD_SETNO2;42.111933;-66.105517;321012;5;05-mar-08;02:26:00;32.736;4.4761;6.739;0.8284595;1;NaN;9;6.9275;1;8.519;1;0.855;1;7.673;1;0;9.96;1.11
TEM2008775_2;MFD_SETNO2;42.111933;-66.105517;321011;132;05-mar-08;02:26:00;33.3943;5.636;5.943;0.256176380952381;1;33.365;1;6.2235;1;12.4385;1;1.032;1;10.0785;1;0;12.05;1.23
TEM2008775_3;MFD_SETNO3;42.014667;-66.036133;321014;6;05-mar-08;04:27:14;32.5326;4.1593;6.84961;1.0422555;1;NaN;9;7.09;1;7.0185;1;0.768;1;6.5975;1;0;9.14;1.06
TEM2008775_3;MFD_SETNO3;42.014667;-66.036133;321013;94;05-mar-08;04:27:14;33.2457;5.4096;6.12979;0.232887619047619;1;33.274;1;6.4445;1;11.9695;1;1.034;1;9.802;1;0;11.58;1.22
TEM2008775_6;MFD_SETNO6;41.9892;-66.3128;321016;6;05-mar-08;13:52:54;33.0541;5.0587;6.4741;0.54785225;1;NaN;9;6.77;1;10.6475;1;1.079;1;9.784;1;0;9.87;1.09
TEM2008775_6;MFD_SETNO6;41.9892;-66.3128;321015;80;05-mar-08;13:52:54;33.0562;5.0387;6.47782;0.53449;1;33.11;1;6.831;1;10.7935;1;0.955;1;8.9695;1;0;11.30;1.20
TEM2008775_9;MFD_SETNO9;42.069567;-66.77055;321018;5;05-mar-08;19:35:28;33.0472;4.9198;6.63778;0.65475025;1;NaN;9;6.925;1;10.402;1;0.9275;1;8.9175;1;0;11.22;1.17
TEM2008775_9;MFD_SETNO9;42.069567;-66.77055;321017;76;05-mar-08;19:35:28;33.0558;4.8802;6.60064;0.641388;1;33.096;1;6.9465;1;10.4505;1;0.9345;1;8.896;1;0;11.18;1.17
