CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;OXY_XX;Q_OXY;TEMP_RT;Q_TEMP_RT;SSAL_BS;Q_SSAL;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(ml/l);((none));(celsius);((none));(g/kg);((none));((none));((none));((none))
TEM2008775_2;MFD_SETNO2;42.111933;-66.105517;321012;5;05-mar-08;02:26:00;32.736;4.4761;6.739;6.739;1;4.4761;1;32.736;1;0;NaN;NaN
TEM2008775_2;MFD_SETNO2;42.111933;-66.105517;321011;132;05-mar-08;02:26:00;33.3943;5.636;5.943;5.943;1;5.636;1;33.3943;1;0;NaN;NaN
TEM2008775_3;MFD_SETNO3;42.014667;-66.036133;321014;6;05-mar-08;04:27:14;32.5326;4.1593;6.84961;6.84961;1;4.1593;1;32.5326;1;0;NaN;NaN
TEM2008775_3;MFD_SETNO3;42.014667;-66.036133;321013;94;05-mar-08;04:27:14;33.2457;5.4096;6.12979;6.12979;1;5.4096;1;33.2457;1;0;NaN;NaN
TEM2008775_6;MFD_SETNO6;41.9892;-66.3128;321016;6;05-mar-08;13:52:54;33.0541;5.0587;6.4741;6.4741;1;5.0587;1;33.0541;1;0;NaN;NaN
TEM2008775_6;MFD_SETNO6;41.9892;-66.3128;321015;80;05-mar-08;13:52:54;33.0562;5.0387;6.47782;6.47782;1;5.0387;1;33.0562;1;0;NaN;NaN
TEM2008775_9;MFD_SETNO9;42.069567;-66.77055;321018;5;05-mar-08;19:35:28;33.0472;4.9198;6.63778;6.63778;1;4.9198;1;33.0472;1;0;NaN;NaN
TEM2008775_9;MFD_SETNO9;42.069567;-66.77055;321017;76;05-mar-08;19:35:28;33.0558;4.8802;6.60064;6.60064;1;4.8802;1;33.0558;1;0;NaN;NaN
TEM2008775_11;MFD_SETNO11;42.1342;-66.8113;321020;6;06-mar-08;13:07:28;33.0656;4.9281;6.60238;6.60238;1;4.9281;1;33.0656;1;0;NaN;NaN
