Filename; Pressure; Uniqueno; Variable; Values; Test failed
NED2009027_1; 15 to 25 m; NaN; temp; 12.15  ; Out of TS Climatology by more than 3*std in box(es) 14 (6.70 ± 5.25)
NED2009027_4; 25 to 35 m; NaN; temp; 10.52  ; Out of TS Climatology by more than 3*std in box(es) 14 (4.21 ± 4.02)
NED2009027_16; 25 to 35 m; NaN; temp; 13.52  ; Out of TS Climatology by more than 3*std in box(es) 17 (5.03 ± 5.43)
NED2009027_28; 15 to 25 m; NaN; temp; 2.87  ; Out of TS Climatology by more than 3*std in box(es) 21 (8.84 ± 4.77)
NED2009027_38; 25 to 35 m; NaN; psal; 32.84  ; Out of TS Climatology by more than 3*std in box(es) 22 (32.18 ± 0.66)
NED2009027_39; 15 to 25 m; NaN; psal; 32.79  ; Out of TS Climatology by more than 3*std in box(es) 22 (32.02 ± 0.72)
NED2009027_50; -5 to 5 m; NaN; psal; 31.47  ; Out of TS Climatology by more than 3*std in box(es) 25 (32.34 ± 0.75)
NED2009027_52; 5 to 15 m; NaN; psal; 31.44  ; Out of TS Climatology by more than 3*std in box(es) 24 (32.25 ± 0.75)
NED2009027_52; 25 to 35 m; NaN; psal; 31.53  ; Out of TS Climatology by more than 3*std in box(es) 24 (32.39 ± 0.78)
NED2009027_86; 15 to 25 m; NaN; temp; 4.77  ; Out of TS Climatology by more than 3*std in box(es) 30 (14.52 ± 9.54)
NED2009027_89; 45 to 55 m; NaN; psal; 33.48  ; Out of TS Climatology by more than 3*std in box(es) 18 (32.30 ± 0.72)
NED2009027_94; 5 to 15 m; NaN; temp; 15.43  ; Out of TS Climatology by more than 3*std in box(es) 14 (10.38 ± 4.74)
NED2009027_106; -5 to 5 m; NaN; psal; 32.01  ; Out of TS Climatology by more than 3*std in box(es) 12 (31.19 ± 0.81)
NED2009027_125; 5 to 15 m; NaN; psal; 32.14  ; Out of TS Climatology by more than 3*std in box(es) 5 (30.74 ± 1.26)
NED2009027_126; -5 to 5 m; NaN; psal; 31.81  ; Out of TS Climatology by more than 3*std in box(es) 5 (30.63 ± 1.08)
NED2009027_126; 25 to 35 m; NaN; psal; 32.41  ; Out of TS Climatology by more than 3*std in box(es) 5 (31.52 ± 0.69)
NED2009027_148; 5 to 15 m; NaN; temp; 16.97  ; Out of TS Climatology by more than 3*std in box(es) 6 (11.79 ± 4.92)
NED2009027_150; 25 to 35 m; NaN; psal; 30.73  ; Out of TS Climatology by more than 3*std in box(es) 2 (31.87 ± 0.90)
NED2009027_157; 5 to 15 m; NaN; psal; 29.81  ; Out of TS Climatology by more than 3*std in box(es) 2 (30.98 ± 1.11)
NED2009027_161; 240 to 260 m; NaN; temp; 6.95  ; Out of TS Climatology by more than 3*std in box(es) 5 (4.09 ± 2.28)
NED2009027_179; 25 to 35 m; NaN; temp; 11.60  ; Out of TS Climatology by more than 3*std in box(es) 4 (5.86 ± 4.41)
NED2009027_179; 45 to 55 m; NaN; temp; 6.99  ; Out of TS Climatology by more than 3*std in box(es) 4 (3.24 ± 3.03)
NED2009027_179; 45 to 55 m; NaN; psal; 33.40  ; Out of TS Climatology by more than 3*std in box(es) 4 (32.32 ± 0.72)
NED2009027_180; 25 to 35 m; NaN; temp; 14.99  ; Out of TS Climatology by more than 3*std in box(es) 4 (5.86 ± 4.41)
NED2009027_180; 45 to 55 m; NaN; temp; 8.13  ; Out of TS Climatology by more than 3*std in box(es) 4 (3.24 ± 3.03)
NED2009027_180; 25 to 35 m; NaN; psal; 32.90  ; Out of TS Climatology by more than 3*std in box(es) 4 (31.99 ± 0.81)
NED2009027_180; 45 to 55 m; NaN; psal; 33.44  ; Out of TS Climatology by more than 3*std in box(es) 4 (32.32 ± 0.72)
NED2009027_183; 15 to 25 m; NaN; temp; 2.42  ; Out of TS Climatology by more than 3*std in box(es) 4 (8.99 ± 5.73)
NED2009027_184; 25 to 35 m; NaN; temp; 15.31  ; Out of TS Climatology by more than 3*std in box(es) 4 (5.86 ± 4.41)
NED2009027_191; 25 to 35 m; NaN; temp; 13.94  ; Out of TS Climatology by more than 3*std in box(es) 9 (8.04 ± 5.01)
NED2009027_211; 5 to 15 m; NaN; temp; 18.61  ; Out of TS Climatology by more than 3*std in box(es) 10 (13.29 ± 5.19)
NED2009027_214; 15 to 25 m; NaN; psal; 32.60  ; Out of TS Climatology by more than 3*std in box(es) 16 (31.65 ± 0.87)
NED2009027_215; 5 to 15 m; NaN; temp; 16.32  ; Out of TS Climatology by more than 3*std in box(es) 14 (10.38 ± 4.74)
