COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,COLUMN_ID,COMMENTS
DIS_DATA_NUM,"NUMBER(14,0)",No,,1,
MISSION_DESCRIPTOR,VARCHAR2(50 BYTE),Yes,,2,
EVENT_COLLECTOR_EVENT_ID,VARCHAR2(50 BYTE),Yes,,3,
EVENT_COLLECTOR_STN_NAME,VARCHAR2(50 BYTE),Yes,,4,
DIS_HEADER_START_DEPTH,"NUMBER(7,2)",Yes,,5,
DIS_HEADER_END_DEPTH,"NUMBER(7,2)",Yes,,6,
DIS_HEADER_SLAT,"NUMBER(8,5)",Yes,,7,
DIS_HEADER_SLON,"NUMBER(9,5)",Yes,,8,
DIS_HEADER_SDATE,DATE,Yes,,9,
DIS_HEADER_STIME,"NUMBER(4,0)",Yes,,10,
DIS_DETAIL_DATA_TYPE_SEQ,"NUMBER(8,0)",Yes,,11,
DATA_TYPE_METHOD,VARCHAR2(20 BYTE),Yes,,12,
DIS_DETAIL_DATA_VALUE,"NUMBER(10,5)",Yes,,13,
DIS_DETAIL_DATA_QC_CODE,VARCHAR2(2 BYTE),Yes,,14,
DIS_DETAIL_DETECTION_LIMIT,"NUMBER(11,5)",Yes,,15,
DIS_DETAIL_DETAIL_COLLECTOR,VARCHAR2(50 BYTE),Yes,,16,
DIS_DETAIL_COLLECTOR_SAMP_ID,VARCHAR2(50 BYTE),Yes,,17,
CREATED_BY,VARCHAR2(30 BYTE),No,,18,
CREATED_DATE,DATE,No,,19,
DATA_CENTER_CODE,"NUMBER(2,0)",Yes,,20,
PROCESS_FLAG,VARCHAR2(3 BYTE),Yes,,21,
BATCH_SEQ,"NUMBER(10,0)",Yes,,22,
DIS_SAMPLE_KEY_VALUE,VARCHAR2(50 BYTE),Yes,,23,
