COLUMN_NAME,DATA_TYPE,NULLABLE,DATA_DEFAULT,COLUMN_ID,COMMENTS
DIS_SAMPLE_KEY_VALUE,VARCHAR2(50 BYTE),Yes,,1,
MISSION_DESCRIPTOR,VARCHAR2(50 BYTE),Yes,,2,
EVENT_COLLECTOR_EVENT_ID,VARCHAR2(50 BYTE),Yes,,3,
EVENT_COLLECTOR_STN_NAME,VARCHAR2(50 BYTE),Yes,,4,
MISSION_NAME,VARCHAR2(50 BYTE),Yes,,5,
MISSION_LEADER,VARCHAR2(50 BYTE),Yes,,6,
MISSION_SDATE,DATE,Yes,,7,
MISSION_EDATE,DATE,Yes,,8,
MISSION_INSTITUTE,VARCHAR2(50 BYTE),Yes,,9,
MISSION_PLATFORM,VARCHAR2(50 BYTE),Yes,,10,
MISSION_PROTOCOL,VARCHAR2(50 BYTE),Yes,,11,
MISSION_GEOGRAPHIC_REGION,VARCHAR2(100 BYTE),Yes,,12,
MISSION_COLLECTOR_COMMENT1,VARCHAR2(2000 BYTE),Yes,,13,
MISSION_COLLECTOR_COMMENT2,VARCHAR2(2000 BYTE),Yes,,14,
MISSION_DATA_MANAGER_COMMENT,VARCHAR2(2000 BYTE),Yes,,15,
EVENT_SDATE,DATE,Yes,,16,
EVENT_EDATE,DATE,Yes,,17,
EVENT_STIME,"NUMBER(4,0)",Yes,,18,
EVENT_ETIME,"NUMBER(4,0)",Yes,,19,
EVENT_MIN_LAT,"NUMBER(8,5)",Yes,,20,
EVENT_MAX_LAT,"NUMBER(8,5)",Yes,,21,
EVENT_MIN_LON,"NUMBER(9,5)",Yes,,22,
EVENT_MAX_LON,"NUMBER(9,5)",Yes,,23,
EVENT_UTC_OFFSET,"NUMBER(4,1)",Yes,,24,
EVENT_COLLECTOR_COMMENT1,VARCHAR2(2000 BYTE),Yes,,25,
EVENT_COLLECTOR_COMMENT2,VARCHAR2(2000 BYTE),Yes,,26,
EVENT_DATA_MANAGER_COMMENT,VARCHAR2(2000 BYTE),Yes,,27,
DIS_HEADR_GEAR_SEQ,"NUMBER(8,0)",Yes,,28,
DIS_HEADR_SDATE,DATE,Yes,,29,
DIS_HEADR_EDATE,DATE,Yes,,30,
DIS_HEADR_STIME,"NUMBER(4,0)",Yes,,31,
DIS_HEADR_ETIME,"NUMBER(4,0)",Yes,,32,
DIS_HEADR_TIME_QC_CODE,VARCHAR2(2 BYTE),Yes,,33,
DIS_HEADR_SLAT,"NUMBER(8,5)",Yes,,34,
DIS_HEADR_ELAT,"NUMBER(8,5)",Yes,,35,
DIS_HEADR_SLON,"NUMBER(9,5)",Yes,,36,
DIS_HEADR_ELON,"NUMBER(9,5)",Yes,,37,
DIS_HEADR_POSITION_QC_CODE,VARCHAR2(2 BYTE),Yes,,38,
DIS_HEADR_START_DEPTH,"NUMBER(7,2)",Yes,,39,
DIS_HEADR_END_DEPTH,"NUMBER(7,2)",Yes,,40,
DIS_HEADR_SOUNDING,"NUMBER(5,0)",Yes,,41,
DIS_HEADR_COLLECTOR_DEPLMT_ID,VARCHAR2(50 BYTE),Yes,,42,
DIS_HEADR_COLLECTOR_SAMPLE_ID,VARCHAR2(50 BYTE),Yes,,43,
DIS_HEADR_COLLECTOR,VARCHAR2(50 BYTE),Yes,,44,
DIS_HEADR_COLLECTOR_COMMENT1,VARCHAR2(2000 BYTE),Yes,,45,
DIS_HEADR_DATA_MANAGER_COMMENT,VARCHAR2(2000 BYTE),Yes,,46,
DIS_HEADR_RESPONSIBLE_GROUP,VARCHAR2(50 BYTE),Yes,,47,
DIS_HEADR_SHARED_DATA,VARCHAR2(50 BYTE),Yes,,48,
CREATED_BY,VARCHAR2(30 BYTE),No,,49,
CREATED_DATE,DATE,No,,50,
DATA_CENTER_CODE,"NUMBER(2,0)",Yes,,51,
PROCESS_FLAG,VARCHAR2(3 BYTE),Yes,,52,
BATCH_SEQ,"NUMBER(10,0)",Yes,,53,
