"mission","method","event","key_value","original_flag","updated_flag","comment"
"18TL18196","PO4_Tech_F",681,"18196_681_442292",7,1,"well mixed shallow profile"
"18TL18196","NO2NO3_Tech_F",681,"18196_681_442292",7,1,"well mixed shallow profile"
"18TL18196","PO4_Tech_F",681,"18196_681_442293",7,1,"well mixed shallow profile"
"18TL18196","NO2NO3_Tech_F",681,"18196_681_442293",7,1,"well mixed shallow profile"
"18TL18196","NO2NO3_Tech_F",751,"18196_751_442309",7,3,"constant profile"
"18TL18196","NO2NO3_Tech_F",751,"18196_751_442310",7,3,"constant profile"
"18TL18023","O2_Winkler_Auto",1,"18023_001_441751",7,1,"winkler precedence over CTD oxy"
"18TL18023","NO2NO3_Tech_F",1,"18023_001_441752",7,1,"spike mimicked in other profiles"
"18TL18023","NO2NO3_Tech_F",1,"18023_001_441751",2,1,"valid profile"
"18TL18023","NO2NO3_Tech_F",1,"18023_001_441753",2,1,"valid profile"
"18TL18023","O2_Winkler_Auto",1,"18023_001_441760",7,1,"winkler precedence over CTD oxy"
"18TL18023","Salinity_Sal_PSS",1,"18023_001_441751",7,4,"Profile does not align with CTD data"
"18TL18023","O2_Winkler_Auto",28,"18023_028_441852",7,1,"winkler precedence over CTD oxy"
"18TL18023","Salinity_Sal_PSS",1,"18023_001_441755",7,4,"profile does not align with CTD data"
"18TL18023","Salinity_Sal_PSS",1,"18023_001_441760",7,4,"profile does not align with CTD data"
"18TL18023","Salinity_Sal_PSS",22,"18023_022_441829",7,1,"valid ctd btl diff"
"18TL18023","Salinity_CTD",80,"18023_080_442029",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_442026",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_442027",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_442028",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_422026",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_422027",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_422028",7,1,"valid profile"
"18TL18023","Salinity_CTD",80,"18023_080_422029",7,1,"valid profile"
"18TL18023","Salinity_CTD",99,"18023_099_442106",7,1,"clumped profile"
"18TL18023","Salinity_CTD",99,"18023_099_442107",7,1,"clumped profile"
"18TL17002","SiO4_Tech_F",15,"17002_015_436901",7,4,"constant profile"
"18TL17002","SiO4_Tech_F",15,"17002_015_436903",7,4,"constant profile"
"18TL17002","SiO4_Tech_F",26,"17002_026_436929",7,4,"constant profile"
"18TL17002","SiO4_Tech_F",26,"17002_026_436930",7,4,"constant profile"
"18TL17002","SiO4_Tech_F",26,"17002_026_436931",7,4,"constant profile"
"18TL17002","Salinity_Sal_PSS",43,"17002_043_436986",7,1,"valid ctd btl diff"
"18TL16161","O2_Electrode",661,"16161_661_436455",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",671,"16161_671_436456",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",291,"16161_291_436343",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1051,"16161_1051_436567",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1271,"16161_1271_436651",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",61,"16161_61_436276",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1311,"16161_1311_436664",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1281,"16161_1281_436655",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1611,"16161_1611_436751",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",971,"16161_971_436545",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1781,"16161_1781_436818",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",301,"16161_301_436344",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1261,"16161_1261_436650",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",981,"16161_981_436546",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1301,"16161_1301_436663",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",981,"16161_981_436548",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1031,"16161_1031_436563",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1041,"16161_1041_436564",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",131,"16161_131_436295",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1611,"16161_1611_436749",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",301,"16161_301_436346",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",131,"16161_131_436293",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1271,"16161_1271_436654",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",971,"16161_971_436541",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1641,"16161_1641_436762",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1041,"16161_1041_436566",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1231,"16161_1231_436638",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1311,"16161_1311_436667",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1411,"16161_1411_436691",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1341,"16161_1341_436674",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1161,"16161_1161_436604",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1411,"16161_1411_436690",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",671,"16161_671_436460",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1061,"16161_1061_436572",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1321,"16161_1321_436668",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1681,"16161_1681_436776",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1651,"16161_1651_436767",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1591,"16161_1591_436745",1,4,"All electrode data flagged for known inconsistencies"
"18TL16161","O2_Electrode",1691,"16161_1691_436778",1,4,"All electrode data flagged for known inconsistencies"
